Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"Miguel Cabrera","DET",13,47,39,8,7,1,0,0,4,4,7,0,10,0,1,0,2,0,0,0.205128205,1744
2023,"David Peralta","LAD",20,67,61,18,12,4,1,1,7,8,5,0,11,0,1,0,1,1,0,0.295081967,2136
2023,"Carlos Santana","PIT",23,93,79,13,7,5,0,1,6,8,13,0,19,0,1,0,1,2,0,0.164556962,2396
2023,"Nelson Cruz","SDP",17,42,39,5,5,0,0,0,0,0,3,0,16,0,0,0,0,0,0,0.128205128,2434
2023,"Tommy Pham","NYM",17,53,44,11,6,3,1,1,4,7,8,0,10,0,1,0,0,3,1,0.25,2967
2023,"Anthony Rizzo","NYY",25,110,101,33,24,3,0,6,17,19,8,0,27,1,0,0,3,0,1,0.326732673,3473
2023,"Eric Hosmer","CHC",7,23,22,4,4,0,0,0,0,1,1,0,6,0,0,0,3,0,0,0.181818181,3516
2023,"Mike Moustakas","COL",13,37,34,9,7,1,0,1,5,4,3,0,10,0,0,0,0,0,0,0.264705882,4892
2023,"Jason Heyward","LAD",20,62,51,11,4,4,0,3,8,6,10,0,13,0,0,0,1,1,0,0.215686274,4940
2023,"Justin Turner","BOS",24,101,90,24,15,5,0,4,17,12,10,0,20,0,1,0,2,1,0,0.266666666,5235
2023,"Robbie Grossman","TEX",25,109,96,22,16,3,0,3,17,15,10,0,30,1,2,0,2,0,0,0.229166666,5254
2023,"Sandy Leon","TEX",6,21,20,2,1,1,0,0,2,0,0,0,10,0,0,1,1,0,0,0.1,5273
2023,"Aaron Hicks","2 Tms",12,31,27,8,5,2,0,1,7,4,4,0,7,0,0,0,0,0,0,0.296296296,5297
2023,"Brandon Crawford","SFG",10,35,30,8,5,3,0,0,3,3,5,0,15,0,0,0,0,0,0,0.266666666,5343
2023,"Freddie Freeman","LAD",28,132,115,46,22,17,1,6,28,26,12,5,19,3,2,0,2,4,0,0.4,5361
2023,"Jose Altuve","HOU",9,40,34,11,6,3,0,2,7,6,6,0,10,0,0,0,2,0,0,0.323529411,5417
2023,"Kyle Higashioka","NYY",15,50,46,11,5,5,0,1,4,8,4,0,16,0,0,0,1,0,0,0.239130434,5517
2023,"Wilmer Flores","SFG",20,58,53,10,5,3,0,2,4,7,4,0,15,0,0,1,0,0,0,0.188679245,5827
2023,"Jean Segura","MIA",21,86,76,16,14,1,1,0,4,5,8,1,14,2,0,0,1,2,1,0.210526315,5933
2023,"Eduardo Escobar","NYM",14,36,33,13,10,1,0,2,4,6,3,0,3,0,0,0,1,1,0,0.393939393,6153
