Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"Enrique Hernandez","LAD",26,100,91,23,12,9,0,2,11,16,7,0,18,1,1,0,6,0,0,0.252747252,10472
2023,"Carlos Perez","OAK",9,25,22,4,4,0,0,0,2,1,0,0,8,2,0,1,1,0,0,0.181818181,10642
2023,"Corey Dickerson","WSN",2,5,4,1,0,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0.25,10762
2023,"Jurickson Profar","COL",18,63,57,12,7,4,0,1,8,3,4,0,11,1,1,0,0,0,0,0.210526315,10815
2023,"Adam Duvall","BOS",25,100,92,28,11,8,0,9,14,21,7,0,25,1,0,0,0,0,0,0.304347826,10950
2023,"Kevin Kiermaier","TOR",13,40,38,9,7,1,0,1,6,7,2,0,9,0,0,0,1,1,0,0.236842105,11038
2023,"Kole Calhoun","CLE",20,87,77,21,13,5,0,3,13,15,8,0,14,2,0,0,1,0,1,0.272727272,11200
2023,"Whit Merrifield","TOR",26,116,112,26,19,5,0,2,12,8,3,0,20,0,1,0,1,3,0,0.232142857,11281
2023,"Yasmani Grandal","CHW",20,72,61,11,10,1,0,0,5,3,9,1,18,1,1,0,2,0,0,0.180327868,11368
2023,"Gary Sanchez","SDP",19,69,64,16,8,2,0,6,8,13,3,0,21,2,0,0,1,0,0,0.25,11442
2023,"Mark Canha","MIL",25,98,85,23,16,5,0,2,11,15,9,1,10,3,1,0,1,0,1,0.270588235,11445
2023,"Christian Yelich","MIL",26,122,105,26,20,5,0,1,18,9,17,4,29,0,0,0,4,5,1,0.247619047,11477
2023,"Henry Ramos","CIN",5,13,12,3,2,1,0,0,1,1,1,0,6,0,0,0,0,0,0,0.25,11481
2023,"Michael A. Taylor","MIN",22,81,74,19,11,0,0,8,12,15,7,0,24,0,0,0,1,2,0,0.256756756,11489
2023,"Manny Machado","SDP",28,120,105,21,11,5,0,5,13,16,13,0,26,0,2,0,3,0,1,0.2,11493
2023,"Bryce Harper","PHI",26,115,97,35,15,9,1,10,23,24,14,2,24,3,1,0,3,0,1,0.360824742,11579
2023,"Willson Contreras","STL",23,88,78,21,13,4,0,4,10,14,9,0,21,1,0,0,0,1,0,0.269230769,11609
2023,"Brandon Drury","LAA",23,97,94,23,14,4,0,5,11,19,2,0,27,0,1,0,1,0,0,0.244680851,11615
2023,"Elias Diaz","COL",25,89,88,24,16,5,0,3,7,14,1,0,21,0,0,0,0,1,0,0.272727272,11680
2023,"Nick Castellanos","PHI",27,120,116,34,20,6,0,8,16,23,3,0,32,0,1,0,5,1,0,0.293103448,11737
2023,"J.T. Realmuto","PHI",20,78,73,21,13,5,0,3,13,9,4,0,24,1,0,0,2,0,1,0.287671232,11739
2023,"Joc Pederson","SFG",26,83,72,19,15,2,1,1,10,7,9,2,13,1,1,0,3,0,0,0.263888888,11899
2023,"Nick Martini","CIN",9,27,24,7,4,1,0,2,3,6,3,0,4,0,0,0,0,0,0,0.291666666,12005
2023,"Jon Berti","MIA",22,64,63,14,11,2,0,1,4,5,0,0,12,0,1,0,1,1,1,0.222222222,12037
2023,"Max Kepler","MIN",25,97,86,27,13,8,0,6,14,11,10,0,19,1,0,0,3,0,0,0.313953488,12144
2023,"Nick Ahmed","ARI",15,46,43,9,7,1,1,0,1,3,3,0,12,0,0,0,0,0,0,0.209302325,12147
2023,"Eddie Rosario","ATL",24,87,77,24,14,5,1,4,15,16,9,0,15,0,0,1,4,2,0,0.311688311,12155
2023,"Austin Barnes","LAD",10,33,31,11,9,1,0,1,5,3,1,0,6,0,0,1,0,0,0,0.354838709,12158
2023,"Ben Gamel","SDP",6,15,15,3,2,1,0,0,2,2,0,0,2,0,0,0,0,0,0,0.2,12160
2023,"Xander Bogaerts","SDP",28,117,111,26,18,4,0,4,7,8,5,0,17,1,0,0,5,2,0,0.234234234,12161
2023,"Jace Peterson","ARI",23,59,51,9,7,0,2,0,2,6,6,1,18,1,0,1,1,2,1,0.176470588,12325
2023,"Taylor Motter","STL",15,40,38,7,6,1,0,0,2,0,1,0,15,1,0,0,0,0,0,0.184210526,12399
2023,"Kevin Pillar","ATL",13,39,37,7,5,1,0,1,6,5,1,0,10,0,1,0,1,1,0,0.189189189,12434
2023,"Marcus Semien","TEX",27,127,112,31,19,5,2,5,16,15,14,0,22,1,0,0,2,4,1,0.276785714,12533
2023,"C.J. Cron","LAA",12,45,41,9,8,0,0,1,7,4,4,0,14,0,0,0,2,0,0,0.219512195,12546
2023,"Eugenio Suarez","SEA",27,124,107,29,20,5,0,4,12,18,15,0,43,2,0,0,2,1,0,0.271028037,12552
2023,"Trevor Story","BOS",18,76,72,14,8,5,0,1,5,3,4,0,27,0,0,0,2,5,1,0.194444444,12564
2023,"Brad Miller","TEX",1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12775
2023,"George Springer","TOR",25,109,94,27,17,6,0,4,15,13,12,1,21,0,2,0,3,6,0,0.287234042,12856
2023,"James McCann","BAL",12,44,39,14,9,4,0,1,7,11,3,0,12,1,1,0,0,1,1,0.358974358,12859
2023,"Francisco Lindor","NYM",27,116,105,32,23,6,0,3,20,14,8,0,22,3,0,0,1,7,1,0.304761904,12916
2023,"Brandon Nimmo","NYM",25,106,93,26,18,4,0,4,11,7,13,0,20,0,0,0,2,0,1,0.279569892,12927
2023,"Austin Hedges","TEX",5,11,10,1,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0.1,12976
2023,"Javier Baez","DET",17,62,57,10,8,1,0,1,7,6,2,0,19,3,0,0,2,1,0,0.175438596,12979
2023,"Cam Gallagher","CLE",6,15,15,2,1,1,0,0,0,1,0,0,3,0,0,0,1,0,0,0.133333333,12981
2023,"Teoscar Hernandez","SEA",26,111,104,38,22,9,0,7,15,22,4,0,28,2,1,0,1,1,0,0.365384615,13066
2023,"Josh Bell","MIA",26,110,100,28,17,3,0,8,17,13,10,0,27,0,0,0,4,0,0,0.28,13145
2023,"Jorge Polanco","MIN",27,113,92,26,17,4,0,5,12,17,18,0,27,1,2,0,0,2,0,0.282608695,13152
