Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"Miguel Cabrera","DET",15,56,53,10,7,3,0,0,0,3,3,0,11,0,0,0,3,0,0,0.188679245,1744
2023,"David Peralta","LAD",25,69,66,11,9,1,0,1,4,10,2,0,12,0,1,0,0,0,1,0.166666666,2136
2023,"Carlos Santana","PIT",26,112,98,27,16,9,0,2,14,16,13,0,19,0,1,0,0,3,0,0.275510204,2396
2023,"Nelson Cruz","SDP",19,69,66,20,12,4,1,3,7,16,1,0,20,1,1,0,1,1,0,0.303030303,2434
2023,"Roberto Perez","SFG",5,17,15,2,2,0,0,0,0,1,2,0,6,0,0,0,0,0,0,0.133333333,2900
2023,"Tommy Pham","NYM",18,53,46,9,6,1,0,2,3,7,6,1,12,0,1,0,1,2,0,0.195652173,2967
2023,"Anthony Rizzo","NYY",28,119,103,29,19,5,0,5,13,13,10,0,26,5,1,0,2,0,1,0.281553398,3473
2023,"Eric Hosmer","CHC",24,77,72,18,13,3,0,2,7,13,5,0,19,0,0,0,2,0,0,0.25,3516
2023,"Mike Moustakas","COL",18,56,45,10,5,4,0,1,9,9,8,1,14,0,3,0,0,0,0,0.222222222,4892
2023,"Jason Heyward","LAD",22,62,50,12,6,3,0,3,11,7,9,0,11,0,1,0,2,1,0,0.24,4940
2023,"Giancarlo Stanton","NYY",13,54,52,14,7,3,0,4,7,11,2,0,11,0,0,0,1,0,0,0.269230769,4949
2023,"Josh Donaldson","NYY",5,17,16,2,1,0,0,1,2,1,1,0,6,0,0,0,0,0,0,0.125,5038
2023,"Justin Turner","BOS",29,127,108,28,21,5,0,2,13,9,14,0,16,4,1,0,2,1,0,0.259259259,5235
2023,"Robbie Grossman","TEX",23,87,75,19,13,3,0,3,16,14,9,0,20,1,2,0,2,0,0,0.253333333,5254
2023,"Sandy Leon","TEX",6,16,14,3,2,1,0,0,2,4,1,0,6,1,0,0,1,0,0,0.214285714,5273
2023,"Aaron Hicks","NYY",15,48,44,7,7,0,0,0,4,1,4,0,13,0,0,0,0,0,0,0.159090909,5297
2023,"Brandon Crawford","SFG",20,78,71,12,7,1,0,4,6,10,7,0,22,0,0,0,3,3,0,0.169014084,5343
2023,"Freddie Freeman","LAD",29,130,113,33,23,6,0,4,21,9,16,1,22,0,1,0,2,4,1,0.292035398,5361
2023,"Ji Man Choi","PIT",9,32,32,4,1,1,0,2,3,2,0,0,15,0,0,0,1,0,0,0.125,5452
2023,"Kyle Higashioka","NYY",12,43,41,8,6,0,0,2,4,6,2,0,15,0,0,0,0,0,0,0.195121951,5517
