Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2024,"David Peralta","SDP",27,91,83,27,16,6,0,5,15,15,8,0,13,0,0,0,0,1,0,0.325301204,2136
2024,"Carlos Santana","MIN",25,100,85,17,10,3,0,4,14,8,13,0,20,1,1,0,3,1,0,0.2,2396
2024,"Tommy Pham","STL",21,71,62,10,6,2,1,1,4,6,7,0,16,1,1,0,2,0,0,0.161290322,2967
2024,"Jason Heyward","2 Tms",15,40,38,8,4,3,0,1,6,7,2,0,10,0,0,0,0,1,0,0.210526315,4940
2024,"Giancarlo Stanton","NYY",21,84,76,17,7,5,0,5,6,15,6,0,22,1,1,0,4,0,0,0.22368421,4949
2024,"Justin Turner","SEA",22,84,71,16,12,1,0,3,9,11,6,0,17,6,1,0,1,0,0,0.225352112,5235
2024,"Robbie Grossman","TEX",12,26,23,4,3,1,0,0,0,0,3,0,8,0,0,0,1,0,0,0.173913043,5254
2024,"Brandon Crawford","STL",2,5,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5343
2024,"Freddie Freeman","LAD",20,86,82,23,15,5,0,3,9,11,4,1,17,0,0,0,0,1,0,0.280487804,5361
2024,"Jose Altuve","HOU",27,119,106,27,20,3,0,4,18,10,11,1,18,2,0,0,3,5,2,0.254716981,5417
2024,"Kyle Higashioka","SDP",16,58,52,12,5,3,0,4,8,10,4,0,15,0,1,1,1,1,0,0.23076923,5517
2024,"J.D. Martinez","NYM",26,103,92,20,10,5,0,5,12,18,9,0,32,1,0,0,5,0,0,0.217391304,6184
2024,"Salvador Perez","KCR",28,119,106,29,14,9,0,6,12,21,9,1,28,2,2,0,2,0,0,0.273584905,7304
2024,"Travis d'Arnaud","ATL",13,53,49,9,5,1,0,3,6,11,1,0,18,2,1,0,2,0,0,0.183673469,7739
2024,"Miguel Rojas","LAD",18,67,63,22,17,4,0,1,10,10,2,0,4,0,1,1,1,2,1,0.349206349,7802
2024,"Charlie Blackmon","COL",20,86,78,16,13,0,1,2,6,8,8,0,14,0,0,0,1,1,0,0.205128205,7859
2024,"Matt Carpenter","STL",9,22,16,1,0,0,0,1,1,4,5,0,8,0,1,0,0,0,1,0.0625,8090
2024,"Donovan Solano","SDP",18,51,48,14,11,0,0,3,5,11,3,0,14,0,0,0,1,0,0,0.291666666,8623
2024,"Paul Goldschmidt","STL",25,102,92,25,14,7,0,4,7,14,9,1,22,0,0,0,4,2,0,0.27173913,9218
