Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2021,"Andrew Romine","CHC",1,4,4,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,1159
2021,"Albert Pujols","LAD",21,52,50,15,13,0,0,2,5,10,1,1,7,0,1,0,4,1,0,0.3,1177
2021,"Miguel Cabrera","DET",23,92,82,23,17,3,0,3,10,16,7,0,18,0,3,0,1,0,0,0.280487804,1744
2021,"Matt Moore","PHI",4,6,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1890
2021,"Zack Greinke","HOU",1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1943
2021,"Clayton Kershaw","LAD",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2036
2021,"David Peralta","ARI",22,84,69,16,10,3,2,1,10,8,12,0,16,2,1,0,1,0,0,0.231884057,2136
2021,"Adam Wainwright","STL",5,10,4,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,2233
2021,"Carlos Santana","KCR",24,101,90,19,12,3,0,4,11,9,11,0,20,0,0,0,1,0,0,0.211111111,2396
2021,"Nelson Cruz","2 Tms",23,97,81,17,12,2,0,3,11,9,12,3,19,1,3,0,2,2,0,0.209876543,2434
2021,"Lance Lynn","CHW",1,2,2,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0.5,2520
2021,"Manny Pina","MIL",12,35,32,7,4,0,0,3,3,10,2,0,8,1,0,0,1,0,0,0.21875,2829
2021,"Ross Detwiler","MIA",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2859
2021,"Roberto Perez","CLE",13,49,43,7,3,1,0,3,4,6,4,0,13,0,0,2,0,0,0,0.162790697,2900
2021,"Tommy Pham","SDP",25,101,89,20,13,5,0,2,19,8,11,0,24,0,1,0,1,1,3,0.224719101,2967
2021,"Mitch Moreland","OAK",13,39,34,7,2,4,0,1,2,2,5,0,11,0,0,0,0,0,0,0.205882352,3086
2021,"Max Scherzer","WSN",4,9,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3137
2021,"Robinson Chirinos","CHC",14,26,22,6,2,1,0,3,4,4,4,0,7,0,0,0,1,0,0,0.272727272,3142
2021,"David Price","LAD",4,6,5,1,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0.2,3184
2021,"Charlie Culberson","TEX",14,44,39,9,6,2,1,0,4,2,3,0,10,0,1,1,1,1,0,0.23076923,3298
2021,"Anthony Rizzo","2 Tms",24,103,86,24,14,3,1,6,16,10,9,0,18,8,0,0,2,0,0,0.279069767,3473
2021,"Eric Hosmer","SDP",25,87,76,27,21,4,0,2,10,13,9,0,16,1,1,0,2,1,0,0.355263157,3516
2021,"Rene Rivera","WSN",3,11,11,2,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0.181818181,3648
2021,"Josh Reddick","ARI",16,36,34,9,7,1,0,1,4,6,2,0,6,0,0,0,2,0,0,0.264705882,3892
2021,"Michael Brantley","HOU",21,88,77,23,17,4,0,2,14,5,9,0,8,2,0,0,1,1,0,0.298701298,4106
2021,"Jake Arrieta","CHC",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4153
2021,"Ryan Zimmerman","WSN",19,48,43,5,2,1,0,2,4,9,5,0,14,0,0,0,1,0,0,0.116279069,4220
2021,"Joey Votto","CIN",26,116,94,30,14,4,1,11,18,25,19,2,28,2,1,0,2,0,0,0.319148936,4314
2021,"Jed Lowrie","OAK",24,93,85,25,17,4,0,4,7,17,6,0,15,0,2,0,2,0,0,0.294117647,4418
2021,"Starlin Castro","WSN",11,44,38,19,15,4,0,0,5,6,4,0,1,0,1,0,2,0,1,0.5,4579
2021,"Charlie Morton","ATL",5,13,13,2,2,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0.153846153,4676
2021,"Rich Hill","2 Tms",3,4,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4806
2021,"Jarrod Dyson","KCR",16,34,33,8,4,4,0,0,2,4,0,0,10,0,0,1,0,1,0,0.242424242,4866
2021,"Ender Inciarte","ATL",6,6,5,1,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0.2,4922
2021,"Jon Lester","WSN",5,8,8,3,2,0,0,1,3,3,0,0,4,0,0,0,0,0,0,0.375,4930
2021,"Jason Heyward","CHC",22,73,71,15,11,3,0,1,4,6,1,0,15,1,0,0,2,1,0,0.211267605,4940
2021,"Giancarlo Stanton","NYY",23,97,84,18,12,4,0,2,8,7,12,0,31,1,0,0,4,0,0,0.214285714,4949
2021,"Asdrubal Cabrera","ARI",12,46,42,10,6,4,0,0,5,7,4,0,11,0,0,0,1,0,0,0.238095238,4962
2021,"Stephen Vogt","2 Tms",17,58,54,13,12,0,0,1,4,3,4,1,13,0,0,0,0,0,0,0.24074074,5000
2021,"Josh Donaldson","MIN",21,82,62,15,8,4,0,3,10,11,18,1,16,0,2,0,6,0,0,0.241935483,5038
2021,"Wade LeBlanc","STL",5,8,7,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,5221
2021,"Justin Upton","LAA",9,38,36,5,2,2,0,1,2,2,2,0,12,0,0,0,1,0,0,0.138888888,5222
2021,"Justin Turner","LAD",25,102,89,29,20,2,0,7,15,21,6,0,12,6,1,0,0,0,0,0.325842696,5235
2021,"Robbie Grossman","DET",25,104,80,20,13,1,0,6,16,13,22,0,18,1,0,1,4,3,2,0.25,5254
2021,"Sandy Leon","MIA",16,48,43,8,5,1,0,2,5,7,3,0,12,1,0,1,0,0,0,0.186046511,5273
2021,"Brandon Crawford","SFG",15,63,55,25,18,5,1,1,8,11,7,2,6,0,1,0,0,3,0,0.454545454,5343
2021,"Jose Alvarez","SFG",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5358
2021,"Freddie Freeman","ATL",27,119,97,36,27,3,0,6,23,15,19,3,14,2,1,0,0,2,2,0.37113402,5361
2021,"Juan Lagares","LAA",15,56,53,13,8,5,0,0,6,5,2,0,14,0,1,0,1,1,0,0.245283018,5384
2021,"Pablo Sandoval","ATL",14,14,11,0,0,0,0,0,1,0,3,0,4,0,0,0,0,0,0,0,5409
2021,"Jose Altuve","HOU",23,107,100,26,13,5,0,8,21,22,7,0,15,0,0,0,2,1,1,0.26,5417
2021,"Ji Man Choi","TBR",20,81,68,18,10,3,0,5,11,15,12,0,21,1,0,0,0,0,0,0.264705882,5452
2021,"Abraham Almonte","ATL",22,63,62,15,7,4,0,4,7,12,1,0,13,0,0,0,1,0,0,0.241935483,5486
2021,"Marwin Gonzalez","BOS",6,17,14,4,4,0,0,0,3,2,3,0,5,0,0,0,0,1,1,0.285714285,5497
2021,"Kyle Higashioka","NYY",3,10,9,1,0,1,0,0,0,2,1,0,3,0,0,0,0,0,0,0.111111111,5517
