Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2022,"Luis Campusano","SDP",4,13,12,1,1,0,0,0,1,1,0,0,2,0,1,0,1,0,0,0.083333333,22217
2022,"Jack Suwinski","PIT",5,20,20,3,3,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0.15,22244
2022,"Joe Perez","HOU",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22254
2022,"Jake Burger","CHW",16,56,54,13,9,2,0,2,5,5,1,0,16,0,0,1,2,0,0,0.24074074,22275
2022,"Nick Allen","OAK",7,20,18,4,2,2,0,0,2,0,2,0,5,0,0,0,0,1,0,0.222222222,22277
2022,"Taylor Walls","TBR",16,50,39,10,7,1,1,1,6,2,10,0,12,1,0,0,2,4,0,0.256410256,22458
2022,"Heliot Ramos","SFG",3,7,6,2,2,0,0,0,2,0,1,0,2,0,0,0,1,0,0,0.333333333,22515
2022,"Jarred Kelenic","SEA",19,68,61,9,4,2,1,2,7,8,6,0,27,0,1,0,1,3,1,0.147540983,22558
2022,"Gabriel Arias","CLE",2,8,8,1,1,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0.125,22563
2022,"Alejandro Kirk","TOR",19,62,53,13,13,0,0,0,1,2,8,1,6,0,1,0,3,0,0,0.245283018,22581
2022,"Geraldo Perdomo","ARI",17,55,42,8,5,2,1,0,6,0,11,0,15,2,0,0,0,1,1,0.19047619,22799
2022,"Tucupita Marcano","PIT",1,2,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5,22871
2022,"Wander Franco","TBR",20,87,83,26,13,8,1,4,14,13,3,0,9,0,1,0,0,3,0,0.313253012,23667
2022,"Julio Rodriguez","SEA",20,81,73,15,11,4,0,0,9,6,7,1,30,1,0,0,1,9,0,0.205479452,23697
2022,"Richie Palacios","CLE",5,13,11,4,3,1,0,0,0,2,2,0,3,0,0,0,0,0,0,0.363636363,24589
2022,"Steven Kwan","CLE",15,61,48,17,11,5,1,0,10,7,9,0,6,2,2,0,1,0,1,0.354166666,24610
2022,"Ryan Jeffers","MIN",16,56,51,11,5,4,0,2,5,5,5,0,20,0,0,0,1,0,0,0.215686274,24618
2022,"Owen Miller","CLE",16,58,50,20,9,9,0,2,12,7,7,0,12,0,1,0,0,0,0,0.4,24655
2022,"Brendan Donovan","STL",5,8,7,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.142857142,24679
2022,"Bryan Lavastida","CLE",4,15,12,1,1,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0.083333333,24765
2022,"Bobby Witt Jr.","KCR",19,77,74,16,10,5,1,0,6,5,2,0,19,1,0,0,2,4,2,0.216216216,25764
2022,"CJ Abrams","SDP",15,49,41,6,4,1,0,1,7,2,3,0,10,3,0,2,3,1,1,0.146341463,25768
2022,"Andrew Vaughn","CHW",16,60,53,15,8,3,0,4,5,12,5,0,9,2,0,0,0,0,0,0.283018867,26197
2022,"Bryson Stott","PHI",9,31,30,4,3,1,0,0,1,3,1,0,10,0,0,0,0,0,0,0.133333333,26294
2022,"Yoshi Tsutsugo","PIT",17,71,58,10,9,1,0,0,6,7,10,0,19,0,3,0,2,0,0,0.172413793,27459
2022,"Spencer Torkelson","DET",20,74,63,12,8,1,0,3,6,8,10,0,25,1,0,0,1,0,0,0.19047619,27465
2022,"Ha-Seong Kim","SDP",16,55,48,13,6,3,1,3,13,10,6,0,10,1,0,0,0,1,0,0.270833333,27506
2022,"Seiya Suzuki","CHC",21,84,68,19,10,5,0,4,13,14,14,2,23,1,1,0,2,1,0,0.279411764,30116
