Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2024,"Carlos Santana","MIN",26,106,95,18,11,3,0,4,9,13,8,1,20,3,0,0,4,0,0,0.189473684,2396
2024,"Tommy Pham","CHW",5,20,20,7,6,1,0,0,4,0,0,0,2,0,0,0,0,0,0,0.35,2967
2024,"Anthony Rizzo","NYY",31,131,120,31,22,4,0,5,15,15,8,0,29,3,0,0,3,0,0,0.258333333,3473
2024,"Jason Heyward","LAD",4,15,14,3,3,0,0,0,3,2,0,0,1,0,1,0,0,0,0,0.214285714,4940
2024,"Giancarlo Stanton","NYY",27,108,99,23,12,5,0,6,15,16,9,0,34,0,0,0,4,0,0,0.232323232,4949
2024,"Justin Turner","TOR",29,109,94,28,16,8,0,4,15,15,11,0,20,2,2,0,4,0,2,0.29787234,5235
2024,"Robbie Grossman","CHW",21,69,57,11,10,1,0,0,4,2,12,0,18,0,0,0,2,1,0,0.192982456,5254
2024,"Aaron Hicks","LAA",17,63,57,8,7,0,0,1,6,5,6,0,23,0,0,0,1,0,0,0.140350877,5297
2024,"Brandon Crawford","STL",7,21,19,2,2,0,0,0,1,0,2,0,9,0,0,0,0,0,0,0.105263157,5343
2024,"Freddie Freeman","LAD",32,144,116,35,24,9,0,2,15,19,23,2,25,3,2,0,3,1,1,0.301724137,5361
2024,"Jose Altuve","HOU",29,133,119,41,25,9,0,7,22,9,13,0,18,1,0,0,3,4,1,0.344537815,5417
2024,"Kyle Higashioka","SDP",9,25,25,4,2,1,0,1,2,1,0,0,12,0,0,0,1,0,0,0.16,5517
2024,"Avisail Garcia","MIA",18,51,50,12,9,1,0,2,4,2,1,0,13,0,0,0,4,0,0,0.24,5760
2024,"Wilmer Flores","SFG",25,80,68,16,12,4,0,0,6,10,9,1,9,1,2,0,2,0,0,0.235294117,5827
2024,"J.D. Martinez","NYM",5,17,17,5,4,1,0,0,1,1,0,0,6,0,0,0,0,0,0,0.294117647,6184
2024,"Martin Maldonado","CHW",19,55,50,5,3,1,0,1,2,5,4,0,16,0,0,1,2,0,0,0.1,6887
2024,"Salvador Perez","KCR",30,118,107,38,26,5,0,7,14,26,10,3,13,1,0,0,4,0,0,0.355140186,7304
2024,"Travis d'Arnaud","ATL",24,81,71,20,8,7,0,5,12,16,7,0,18,2,1,0,2,0,0,0.28169014,7739
2024,"Miguel Rojas","LAD",18,50,45,12,7,3,0,2,7,5,5,0,5,0,0,0,0,1,0,0.266666666,7802
2024,"Charlie Blackmon","COL",24,95,88,20,13,4,2,1,11,9,7,0,14,0,0,0,1,1,0,0.227272727,7859
