#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
56,Will Smith,LAD,126,500,19,67,67,2,11.70%,19.40%,0.189,0.284,0.255,0.352,0.444,0.345,122,-1.6,11.7,9.1,3.3
57,Cody Bellinger,NYY,143,616,24,82,89,11,8.30%,14.70%,0.184,0.273,0.264,0.326,0.448,0.332,114,0.2,10.7,0.6,3.3
58,Xander Bogaerts,SDP,141,609,13,72,60,17,8.40%,17.60%,0.126,0.304,0.264,0.33,0.391,0.316,106,1.5,5.5,6.3,3.3
59,Drake Baldwin,ATL,139,571,23,71,78,1,9.30%,18.00%,0.191,0.292,0.267,0.341,0.458,0.346,122,-1.1,13.8,-0.7,3.2
60,Rafael Devers,SFG,159,686,31,94,93,2,12.40%,24.20%,0.216,0.297,0.253,0.351,0.469,0.35,128,-1.6,20.8,-12.3,3.2
61,Austin Wells,NYY,117,461,19,51,62,5,8.50%,24.40%,0.19,0.261,0.227,0.299,0.417,0.31,99,-0.3,-0.6,8.9,3.2
62,Ceddanne Rafaela,BOS,141,609,18,78,76,21,4.70%,20.80%,0.167,0.304,0.261,0.303,0.428,0.315,97,1.1,-0.8,11.0,3.2
63,James Wood,WSN,149,644,27,89,86,16,12.10%,29.00%,0.211,0.341,0.261,0.353,0.472,0.355,128,0.0,21.7,-12.0,3.2
64,Marcus Semien,NYM,149,644,20,82,75,9,9.00%,16.40%,0.152,0.263,0.242,0.314,0.394,0.31,101,0.2,1.2,8.2,3.2
65,Brent Rooker,ATH,154,665,34,89,107,6,9.60%,25.20%,0.236,0.313,0.266,0.342,0.503,0.36,130,-0.8,22.8,-15.5,3.1
66,Andy Pages,LAD,139,602,26,75,85,10,6.10%,21.60%,0.199,0.289,0.257,0.311,0.455,0.329,112,-0.2,8.2,1.9,3.1
67,Jazz Chisholm Jr.,NYY,139,602,28,78,86,31,9.80%,25.90%,0.202,0.279,0.238,0.318,0.44,0.328,111,2.6,10.7,-1.4,3.1
68,Luke Keaschall,MIN,131,567,11,71,65,25,9.90%,16.70%,0.13,0.305,0.265,0.352,0.396,0.331,112,1.2,8.9,1.5,3.1
69,Gleyber Torres,DET,152,658,18,83,72,6,11.30%,17.10%,0.147,0.292,0.26,0.347,0.407,0.332,113,-1.8,8.0,-0.7,3.1
70,Brice Turang,MIL,151,651,14,83,68,28,9.20%,20.60%,0.128,0.311,0.259,0.328,0.387,0.314,101,2.3,3.4,4.6,3.0
71,Dillon Dingler,DET,109,429,13,46,55,1,6.70%,24.90%,0.16,0.302,0.245,0.306,0.404,0.309,97,-0.6,-2.1,13.6,3.0
72,Ezequiel Tovar,COL,151,651,21,81,76,9,5.10%,24.00%,0.177,0.324,0.266,0.306,0.443,0.322,92,-0.4,-6.2,13.7,3.0
73,Kyle Schwarber,PHI,159,686,44,103,105,7,14.70%,28.50%,0.269,0.255,0.227,0.348,0.496,0.361,131,-1.9,23.2,-17.0,3.0
74,Brendan Donovan,SEA,130,560,12,68,55,5,8.90%,13.70%,0.131,0.301,0.273,0.348,0.404,0.331,119,-1.4,11.0,-1.4,3.0
75,Michael Busch,CHC,139,602,28,84,82,4,10.50%,24.50%,0.223,0.296,0.253,0.339,0.476,0.35,127,-1.2,18.4,-9.7,2.9
76,CJ Abrams,WSN,146,630,20,87,68,31,6.00%,18.80%,0.171,0.287,0.254,0.314,0.426,0.32,105,3.2,6.7,0.7,2.9
77,Jackson Chourio,MIL,151,651,25,92,88,24,6.00%,20.10%,0.197,0.308,0.272,0.318,0.469,0.336,116,2.0,14.7,-8.0,2.9
78,Ivan Herrera,STL,141,601,19,75,77,10,10.60%,19.60%,0.164,0.317,0.274,0.362,0.437,0.349,127,0.0,19.2,-11.0,2.9
79,Bryson Stott,PHI,144,623,14,73,67,25,8.90%,16.50%,0.132,0.291,0.258,0.327,0.39,0.314,99,2.2,1.5,5.8,2.9
80,Josh Naylor,SEA,144,623,23,74,92,18,8.20%,14.80%,0.181,0.283,0.269,0.332,0.45,0.335,122,0.6,16.7,-10.1,2.9
81,Xavier Edwards,MIA,139,602,5,72,50,27,8.70%,13.70%,0.084,0.322,0.281,0.345,0.365,0.314,100,2.2,2.0,5.8,2.8
82,Andres Gimenez,TOR,138,595,14,68,66,20,5.80%,17.20%,0.129,0.285,0.251,0.313,0.38,0.304,94,1.5,-2.4,9.4,2.8
83,Francisco Alvarez,NYM,112,446,22,54,63,1,9.30%,25.60%,0.21,0.276,0.238,0.318,0.448,0.331,116,-0.7,7.5,3.2,2.8
84,Oneil Cruz,PIT,125,539,22,73,65,29,10.70%,30.20%,0.202,0.309,0.237,0.323,0.44,0.328,109,3.0,8.5,0.6,2.8
85,Ian Happ,CHC,152,658,23,84,79,8,12.50%,23.70%,0.181,0.293,0.243,0.342,0.424,0.335,117,-0.6,12.4,-7.2,2.8
86,Trent Grisham,NYY,126,546,24,73,65,6,13.20%,24.80%,0.197,0.251,0.217,0.327,0.414,0.326,110,-0.6,6.0,2.2,2.8
87,Shea Langeliers,ATH,131,524,28,70,83,5,7.40%,22.40%,0.234,0.277,0.253,0.313,0.487,0.341,117,-0.3,10.0,3.2,2.8
