#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
181,Eugenio Suarez,CIN,143,616,35,79,97,3,8.60%,30.10%,0.239,0.28,0.235,0.312,0.474,0.336,111,-1.9,6.2,-11.0,1.6
182,Brandon Marsh,PHI,115,497,14,59,59,10,9.80%,28.30%,0.159,0.341,0.256,0.331,0.415,0.325,106,0.3,4.1,-5.0,1.6
183,Jared Triolo,PIT,120,518,9,58,48,14,10.60%,22.70%,0.118,0.309,0.245,0.329,0.363,0.308,94,0.3,-3.1,1.5,1.6
184,Mike Yastrzemski,ATL,110,476,17,59,53,5,11.50%,23.50%,0.187,0.271,0.229,0.323,0.416,0.321,105,-0.6,2.4,-2.8,1.6
185,Luis Garcia Jr.,WSN,115,497,15,59,64,13,5.50%,15.60%,0.158,0.295,0.272,0.312,0.43,0.32,104,-0.2,2.4,-3.6,1.6
186,Jordan Lawlar,ARI,110,476,10,57,51,17,8.70%,25.90%,0.146,0.308,0.237,0.312,0.383,0.305,93,1.2,-2.5,2.1,1.6
187,Ryan O'Hearn,PIT,126,546,15,64,63,3,9.20%,18.90%,0.153,0.308,0.267,0.341,0.42,0.331,110,-1.2,5.4,-8.4,1.5
188,Adolis Garcia,PHI,141,609,28,75,88,13,6.70%,26.30%,0.201,0.285,0.241,0.298,0.442,0.318,102,0.1,1.2,-6.3,1.5
189,Sal Stewart,CIN,117,504,18,65,69,8,8.00%,19.00%,0.176,0.295,0.264,0.328,0.44,0.333,109,0.0,5.3,-7.0,1.5
190,Connor Norby,MIA,117,504,15,62,59,9,7.20%,26.80%,0.158,0.311,0.245,0.304,0.403,0.308,95,-0.5,-3.4,1.7,1.5
191,Brooks Lee,MIN,138,595,16,63,68,4,6.60%,16.90%,0.142,0.274,0.248,0.299,0.389,0.3,90,-1.0,-7.9,2.4,1.5
192,Garrett Mitchell,MIL,92,399,9,48,44,14,9.60%,29.90%,0.147,0.329,0.238,0.317,0.385,0.309,98,0.8,-0.1,1.5,1.5
193,Brett Baty,NYM,100,434,17,52,55,5,8.40%,24.50%,0.174,0.298,0.249,0.317,0.424,0.322,109,-0.3,4.5,-4.3,1.5
194,Parker Meadows,DET,97,420,11,51,46,11,9.40%,24.80%,0.154,0.288,0.231,0.306,0.385,0.302,93,0.8,-2.8,2.9,1.5
195,Samuel Basallo,BAL,107,445,21,53,62,2,8.10%,24.70%,0.208,0.274,0.239,0.307,0.448,0.324,109,-0.6,4.2,-4.7,1.5
196,Ke'Bryan Hayes,CIN,123,532,10,55,53,11,6.80%,20.00%,0.111,0.292,0.244,0.3,0.355,0.288,78,0.4,-13.4,10.1,1.5
197,Dylan Beavers,BAL,89,385,12,48,44,10,11.70%,23.10%,0.161,0.299,0.246,0.338,0.407,0.327,111,0.0,5.0,-4.1,1.4
198,Cole Young,SEA,91,392,7,44,40,5,9.80%,17.00%,0.121,0.273,0.236,0.321,0.358,0.301,99,-0.5,-1.1,1.5,1.4
199,Daylen Lile,WSN,133,574,11,68,66,14,6.60%,17.90%,0.151,0.311,0.267,0.322,0.418,0.321,106,0.3,4.2,-9.4,1.4
200,Josh Smith,TEX,117,504,10,59,46,9,9.60%,18.80%,0.126,0.288,0.244,0.332,0.37,0.311,100,-0.2,0.1,-3.7,1.4
201,Salvador Perez,KCR,151,618,27,65,89,0,4.90%,20.90%,0.191,0.277,0.251,0.299,0.442,0.316,99,-3.0,-3.5,-1.5,1.4
202,Jac Caglianone,KCR,105,455,20,56,62,3,7.60%,21.40%,0.195,0.286,0.255,0.32,0.45,0.332,110,-0.5,4.9,-6.9,1.4
203,Yoan Moncada,LAA,105,455,15,51,54,1,9.20%,27.30%,0.168,0.307,0.239,0.318,0.407,0.316,101,-0.8,-0.1,-2.0,1.4
204,Agustin Ramirez,MIA,123,507,19,63,66,12,7.40%,19.60%,0.183,0.27,0.244,0.307,0.426,0.316,101,0.1,0.8,-4.5,1.4
205,Tyler O'Neill,BAL,100,434,21,56,59,5,10.20%,28.40%,0.208,0.286,0.235,0.32,0.443,0.329,112,-0.1,6.3,-7.6,1.4
206,Davis Schneider,TOR,75,322,12,40,39,4,12.90%,28.40%,0.187,0.278,0.22,0.328,0.407,0.324,108,-0.2,2.8,-0.4,1.4
207,Marcell Ozuna,PIT,122,525,23,63,70,0,12.40%,24.40%,0.194,0.29,0.246,0.343,0.441,0.341,117,-1.6,9.1,-13.1,1.4
208,Jose Trevino,CIN,71,282,7,29,29,1,5.60%,15.00%,0.127,0.262,0.24,0.286,0.367,0.285,76,-0.5,-8.5,8.7,1.4
209,Jesus Sanchez,TOR,97,420,15,51,52,9,8.50%,24.30%,0.178,0.295,0.246,0.313,0.424,0.32,105,0.2,2.8,-4.2,1.3
210,Bryan Reynolds,PIT,149,644,19,73,76,5,8.70%,24.50%,0.161,0.313,0.253,0.325,0.414,0.322,104,-0.8,2.4,-10.8,1.3
211,Chase DeLauter,CLE,107,462,13,54,52,3,9.40%,18.20%,0.155,0.279,0.248,0.32,0.403,0.316,103,-0.9,1.0,-3.9,1.3
212,Josh Lowe,LAA,115,497,15,59,57,21,7.90%,26.80%,0.166,0.32,0.251,0.313,0.416,0.315,100,1.8,2.1,-6.3,1.3
213,Nolan Gorman,STL,123,532,24,63,69,4,10.10%,32.10%,0.195,0.285,0.22,0.3,0.416,0.31,100,-1.4,-1.2,-3.6,1.3
214,Jo Adell,LAA,141,609,33,73,93,9,6.90%,26.90%,0.227,0.27,0.235,0.299,0.462,0.326,108,-0.8,4.9,-13.0,1.3
215,Cedric Mullins,TBR,110,476,14,56,54,20,9.00%,22.70%,0.155,0.266,0.225,0.3,0.38,0.298,89,1.0,-5.0,1.3,1.3
216,Denzel Clarke,ATH,97,420,9,50,44,14,7.80%,33.20%,0.141,0.335,0.229,0.301,0.369,0.295,85,0.9,-6.5,4.6,1.3
217,Kyle Isbel,KCR,113,490,9,58,48,9,6.30%,19.50%,0.128,0.289,0.243,0.297,0.371,0.292,83,0.1,-10.0,5.5,1.3
218,Danny Jansen,TEX,89,352,14,41,42,1,10.90%,23.60%,0.182,0.243,0.213,0.309,0.396,0.31,100,-0.9,-1.0,4.9,1.3
219,Jonathan India,KCR,115,497,11,59,46,5,10.30%,19.10%,0.134,0.287,0.243,0.338,0.378,0.318,101,-0.6,-0.1,-4.7,1.3
220,Jake Burger,TEX,138,595,27,70,85,2,5.40%,24.70%,0.202,0.279,0.242,0.293,0.444,0.316,104,-1.0,1.6,-9.8,1.3
221,Carson Williams,TBR,97,420,15,50,50,12,8.40%,34.60%,0.169,0.292,0.209,0.282,0.379,0.289,83,-0.1,-8.7,6.5,1.3
222,Nathan Lukes,TOR,68,294,6,35,34,3,8.20%,15.70%,0.135,0.304,0.27,0.334,0.405,0.323,108,-0.5,2.2,-0.1,1.2
223,Max Muncy,ATH,96,413,11,45,51,4,6.20%,27.80%,0.151,0.316,0.243,0.302,0.394,0.303,90,-0.7,-5.5,3.5,1.2
224,Joc Pederson,TEX,97,420,18,52,53,3,11.50%,23.00%,0.199,0.269,0.236,0.338,0.435,0.336,118,-0.9,7.9,-10.4,1.2
225,Isaac Collins,KCR,104,448,9,54,48,15,12.00%,21.70%,0.138,0.292,0.237,0.337,0.376,0.316,99,0.1,-0.2,-3.3,1.2
226,Victor Caratini,MIN,97,400,10,40,44,1,7.60%,17.40%,0.128,0.284,0.253,0.324,0.381,0.311,98,-1.2,-2.1,0.3,1.2
227,Luis Torrens,NYM,55,218,5,21,24,1,6.50%,22.30%,0.138,0.294,0.244,0.298,0.382,0.297,92,-0.4,-2.4,6.2,1.2
228,Gabriel Arias,CLE,112,483,14,49,52,9,6.10%,30.80%,0.149,0.31,0.23,0.284,0.378,0.288,84,-0.2,-9.2,4.4,1.2
229,Cam Smith,HOU,117,504,12,58,55,8,8.50%,25.80%,0.14,0.313,0.243,0.316,0.383,0.307,97,0.3,-1.6,-4.1,1.2
230,Kyle Higashioka,TEX,70,276,10,28,34,2,6.00%,24.60%,0.171,0.266,0.227,0.275,0.398,0.291,86,-0.6,-5.1,4.6,1.2
231,Willi Castro,COL,125,539,13,67,54,14,7.90%,22.40%,0.151,0.316,0.257,0.332,0.408,0.324,94,0.2,-3.6,-2.8,1.2
232,Josh Bell,MIN,133,574,20,65,68,1,10.70%,18.60%,0.168,0.281,0.252,0.336,0.42,0.33,111,-2.3,5.4,-13.7,1.2
233,Jake Mangum,PIT,86,371,3,37,36,14,4.80%,16.60%,0.097,0.333,0.282,0.321,0.379,0.306,94,0.5,-2.3,1.3,1.2
234,Zach McKinstry,DET,94,406,8,47,39,13,8.70%,21.60%,0.143,0.29,0.239,0.312,0.382,0.304,94,1.1,-1.9,-1.0,1.1
235,Tyler Stephenson,CIN,112,450,14,50,53,1,9.80%,27.90%,0.161,0.302,0.234,0.316,0.395,0.311,94,-1.1,-4.4,2.5,1.1
236,Jake Rogers,DET,49,192,6,22,23,1,8.20%,29.20%,0.163,0.274,0.213,0.283,0.377,0.288,83,-0.2,-4.1,5.9,1.1
237,Nick Fortes,TBR,79,314,8,33,32,2,6.00%,17.40%,0.124,0.255,0.228,0.287,0.353,0.282,78,-0.3,-8.3,6.0,1.1
238,Ramon Urias,STL,75,322,9,34,35,2,7.30%,22.90%,0.145,0.298,0.248,0.309,0.393,0.307,98,-0.4,-1.3,1.3,1.1
239,Mark Vientos,NYM,102,441,20,52,63,1,7.20%,26.00%,0.2,0.299,0.25,0.311,0.45,0.328,113,-1.0,6.0,-10.0,1.1
240,Brooks Baldwin,CHW,84,364,12,41,45,7,6.80%,22.60%,0.162,0.297,0.251,0.305,0.413,0.312,99,0.1,-0.3,-1.6,1.1
