#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
165,Michael Soroka,ARI,6,6,5,52,11,101,9,3.3,1.07,0.291,70.90%,,4.08,4.03,0.8
166,Ryan Feltner,COL,5,7,0,34,16,101,7.42,3.73,1.3,0.308,68.10%,,5.15,4.73,0.8
167,Robert Gasser,MIL,4,4,0,36,10,76,8.32,2.82,1.22,0.287,72.20%,,4.06,4.21,0.7
168,J.T. Ginn,ATH,4,4,0,34,10,74,8.54,3.17,1.13,0.296,71.20%,,4.17,4.13,0.7
169,Hunter Barco,PIT,4,4,0,45,11,89,8.25,3.7,1.08,0.294,72.60%,,4.15,4.31,0.7
170,Chase Dollander,COL,5,9,0,23,23,114,7.71,4.02,1.42,0.302,67.80%,,5.27,5.01,0.7
171,Ryan Johnson,LAA,3,4,0,22,8,56,7.95,2.89,1.21,0.296,71.40%,,4.27,4.14,0.7
172,Richard Fitts,STL,7,8,0,36,23,128,6.77,2.72,1.28,0.291,70.70%,,4.42,4.5,0.7
173,Ryan Weiss,HOU,5,6,0,47,10,93,8.83,3.36,1.21,0.295,71.80%,,4.23,4.22,0.7
174,Jonathan Cannon,CHW,5,8,0,46,15,111,6.78,3.13,1.38,0.292,69.50%,,4.8,4.8,0.7
175,Patrick Corbin,,5,6,0,16,16,87,7.23,3.06,1.36,0.304,69.30%,,4.86,4.6,0.7
176,Andrew Alvarez,WSN,4,5,0,35,11,83,6.57,3.49,1.04,0.297,71.10%,,4.36,4.48,0.7
177,Randy Vásquez,SDP,7,9,0,36,24,137,6.15,3.27,1.32,0.286,69.40%,,4.8,4.95,0.7
178,Luis Gil,NYY,5,6,0,51,11,99,9.19,4.29,1.29,0.277,71.50%,,4.4,4.51,0.7
179,Corbin Burnes,ARI,3,2,0,6,6,39,8.64,2.8,0.92,0.292,74.00%,,3.51,3.59,0.6
180,David Festa,MIN,3,3,0,28,6,55,9.21,3.09,1.15,0.297,72.10%,,4.06,3.91,0.6
181,Gage Jump,ATH,3,3,0,10,10,49,7.8,3.06,1.23,0.293,71.30%,,4.31,4.32,0.6
182,Erick Fedde,CHW,6,8,0,28,18,109,6.89,3.48,1.47,0.291,69.60%,,4.96,4.96,0.6
183,Hurston Waldrep,ATL,4,4,0,11,11,61,8,3.93,1.02,0.298,71.40%,,4.29,4.26,0.6
184,Jake Irvin,WSN,6,8,0,31,19,120,6.74,2.93,1.44,0.291,69.20%,,4.82,4.82,0.6
185,Griffin Canning,SDP,6,7,0,32,18,108,8.04,3.39,1.41,0.292,71.80%,,4.53,4.6,0.6
186,Cody Bradford,TEX,5,5,0,40,8,75,7.67,2.15,1.38,0.285,69.90%,,4.35,4.23,0.6
187,Germán Márquez,SDP,6,8,0,27,19,109,6.66,3.09,1.41,0.299,68.70%,,5,4.83,0.6
188,Hunter Dobbins,STL,5,5,0,31,13,87,6.38,2.9,1.17,0.291,70.20%,,4.46,4.52,0.5
189,Stephen Kolek,KCR,4,4,0,36,8,72,6.38,2.83,0.91,0.301,69.50%,,4.25,4.17,0.5
190,Spencer Arrighetti,HOU,5,6,0,27,13,84,9.03,4.01,1.33,0.287,71.80%,,4.46,4.55,0.5
191,Connelly Early,BOS,2,2,0,13,5,34,9.04,3.32,0.97,0.296,72.00%,,3.87,3.84,0.5
192,Jon Gray,,2,2,0,6,6,35,7.77,2.87,1.25,0.292,69.80%,,4.46,4.28,0.5
193,Tyler Anderson,LAA,5,7,0,18,18,100,6.92,3.59,1.48,0.288,70.70%,,4.87,5.05,0.5
194,Alek Manoah,LAA,3,4,0,11,11,60,7.61,3.67,1.27,0.29,68.80%,,4.75,4.73,0.5
195,Colin Rea,CHC,5,5,0,48,8,86,7.15,2.53,1.31,0.289,70.80%,,4.36,4.41,0.4
196,Jordan Montgomery,TEX,2,3,0,16,6,47,7.37,2.9,1.23,0.297,71.20%,,4.38,4.34,0.4
197,Taijuan Walker,PHI,6,8,0,50,16,120,6.34,3.22,1.5,0.292,70.00%,,4.96,5.09,0.4
198,Payton Tolle,BOS,2,2,0,17,5,36,9.19,2.9,1.27,0.292,72.40%,,4.08,4,0.4
199,Brandon Williamson,CIN,4,6,0,35,13,88,7.39,3.71,1.46,0.291,69.60%,,4.98,4.98,0.4
200,Carson Whisenhunt,SFG,3,3,0,20,8,54,7.09,3.12,1.13,0.294,71.30%,,4.33,4.35,0.4
