#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
77,Foster Griffin,WSN,7,8,0,33,23,139,8.06,2.59,1.16,0.299,71.30%,,4.12,4.01,1.9
78,Brayan Bello,BOS,9,10,0,28,28,153,7.49,3.18,1,0.301,70.70%,,4.22,4.13,1.9
79,Shane Bieber,TOR,7,6,0,29,19,119,8.23,2.09,1.12,0.293,73.50%,,3.7,3.7,1.9
80,Chris Bassitt,BAL,11,10,0,37,29,174,8.18,3.1,1.21,0.297,72.30%,,4.18,4.29,1.9
81,Bubba Chandler,PIT,9,9,0,38,26,149,8.33,3.46,1.07,0.292,71.80%,,4.11,4.18,1.9
82,Edward Cabrera,CHC,9,7,0,26,26,139,9.6,3.59,1.08,0.285,71.80%,,3.92,3.93,1.9
83,Cade Cavalli,WSN,7,9,0,26,26,137,7.69,3.17,0.99,0.297,70.20%,,4.19,4.14,1.8
84,Taj Bradley,MIN,7,8,0,34,24,141,8.54,3.16,1.21,0.292,71.00%,,4.25,4.12,1.8
85,Shota Imanaga,CHC,9,8,0,26,26,148,8.21,2,1.56,0.28,74.40%,,4.04,4.32,1.8
86,Shane Baz,BAL,9,9,0,28,28,152,8.85,3.21,1.28,0.292,71.50%,,4.28,4.24,1.8
87,Hunter Greene,CIN,5,4,0,15,15,83,10.62,2.92,1.22,0.275,72.50%,,3.73,3.73,1.8
88,Tatsuya Imai,HOU,9,9,0,26,26,153,8.55,3.65,1.16,0.305,71.60%,,4.37,4.27,1.8
89,Jacob Misiorowski,MIL,9,8,0,32,24,135,10.35,4.11,1.13,0.283,72.80%,,3.99,4.05,1.8
90,Justin Verlander,DET,8,8,0,26,26,141,7.43,2.83,1.27,0.288,71.50%,,4.31,4.38,1.7
91,Ryne Nelson,ARI,9,8,0,38,28,167,7.43,2.51,1.19,0.291,71.80%,,4.09,4.14,1.7
92,Dustin May,STL,9,11,0,36,26,163,8.16,3.28,1.08,0.288,70.20%,,4.19,4.18,1.7
93,Jacob Lopez,ATH,8,8,0,23,23,122,9.37,3.61,1.27,0.288,72.70%,,4.17,4.26,1.7
94,Trey Yesavage,TOR,6,5,0,32,21,115,9.81,3.75,1.04,0.284,73.00%,,3.8,3.79,1.7
95,Nick Martinez,TBR,9,10,0,47,21,147,6.95,2.47,1.14,0.294,69.60%,,4.32,4.17,1.7
96,Mike Burrows,HOU,7,7,0,34,26,137,8.88,3.05,1.3,0.287,72.70%,,4.11,4.17,1.7
97,Simeon Woods Richardson,MIN,7,8,0,34,26,143,8.15,3.34,1.28,0.29,71.50%,,4.38,4.37,1.7
98,Cam Schlittler,NYY,8,7,0,23,23,121,8.87,3.34,1.18,0.286,72.40%,,4.03,4.11,1.7
99,Kyle Freeland,COL,8,12,0,29,29,160,6.68,2.36,1.43,0.314,68.60%,,5.02,4.61,1.6
100,Noah Cameron,KCR,8,8,0,26,26,142,7.58,2.92,1.22,0.293,72.10%,,4.2,4.3,1.6
101,Bryce Miller,SEA,8,8,0,26,26,141,7.99,2.67,1.26,0.28,71.50%,,4.11,4.19,1.6
102,Braxton Garrett,MIA,6,6,0,27,19,112,7.82,2.21,1.11,0.298,72.20%,,3.88,3.92,1.6
103,Seth Lugo,KCR,9,10,0,28,28,160,7.58,2.98,1.32,0.294,71.80%,,4.39,4.47,1.6
104,Matthew Liberatore,STL,9,10,0,28,28,150,7.5,2.9,1.12,0.293,70.90%,,4.22,4.19,1.5
105,Michael McGreevy,STL,8,8,0,31,23,135,6.29,2.16,1.03,0.294,71.20%,,3.99,4.02,1.5
106,Quinn Priester,MIL,8,7,0,23,23,131,7.54,3.06,1.07,0.292,71.20%,,4.12,4.16,1.5
107,Roki Sasaki,LAD,7,6,0,38,18,113,9.41,3.2,1.22,0.297,71.70%,,4.16,4.05,1.5
108,Max Meyer,MIA,8,9,0,34,24,137,8.11,2.98,1.19,0.297,71.30%,,4.24,4.15,1.5
109,Eduardo Rodriguez,ARI,8,8,0,31,23,132,8.05,3.16,1.22,0.299,72.90%,,4.22,4.23,1.5
110,Chad Patrick,MIL,8,9,0,26,26,141,8.42,2.93,1.45,0.283,71.40%,,4.42,4.46,1.5
111,Davis Martin,CHW,7,10,0,28,28,150,7.03,3.09,1.26,0.294,70.20%,,4.54,4.56,1.5
112,Robbie Ray,SFG,10,10,0,31,31,174,9.11,3.35,1.31,0.289,73.70%,,4.12,4.23,1.5
