Season,Month,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2024,"May","Lance Lynn","STL",26.2,113,8.1,3.375,2.4,0.675,0.21238938,0.08849558,0.12389381,0.24,1.275,0.29333333,0.54216867,3.69147977822417,4.190687974228089,2520
2024,"May","Brennan Bernardino","BOS",1,5,9,0,1,0,0.2,0,0.2,0.25,1,0.33333333,0.5,4.166479778289795,5.678488184511662,16835
2024,"May","Charlie Morton","ATL",26.2,118,10.4625,4.05,2.58333333,1.35,0.26271186,0.10169492,0.16101695,0.284313725,1.5375,0.36764706,0.703125,4.478979778125733,3.7763867133465965,4676
2024,"May","Albert Suarez","BAL",9,36,8,4,2,0,0.22222222,0.11111111,0.11111111,0.193548387,1.11111111,0.25,0.9,2.7220353338453505,4.0660428060425655,6175
2024,"May","Carlos Carrasco","CLE",18,72,5.5,1.5,3.66666667,1.5,0.15277778,0.04166667,0.11111111,0.25,1.11111111,0.25454545,0.75949367,4.61092422273424,4.124266896314092,6632
2024,"May","Martin Perez","PIT",22.2,107,7.54411765,2.38235294,3.16666667,3.17647059,0.17757009,0.05607477,0.12149533,0.356435643,1.85294118,0.37837838,0.68181818,6.872362130685989,4.552139446242351,6902
2024,"May","Justin Verlander","HOU",36.2,151,8.1,2.7,3,1.71818182,0.21854305,0.07284768,0.14569536,0.226277372,1.14545455,0.24489796,0.81871345,4.911934323585663,5.028021494265408,8700
2024,"May","Nathan Eovaldi","TEX",8.1,34,10.8,2.16,5,0,0.29411765,0.05882353,0.23529412,0.225806451,1.08,0.31818182,0.77777778,1.4864797776177952,2.212243812894597,9132
2024,"May","Patrick Corbin","WSN",34.2,150,4.93269231,3.375,1.46153846,1.29807692,0.12666667,0.08666667,0.04,0.283582089,1.47115385,0.2920354,0.70454545,5.070325931952887,4.8963353889692165,9323
2024,"May","Miles Mikolas","STL",33,136,6.81818182,1.90909091,3.57142857,1.09090909,0.18382353,0.05147059,0.13235294,0.251968503,1.18181818,0.28282828,0.61046512,3.954358566168583,4.119701579393762,9803
2024,"May","Kyle Gibson","STL",27,116,7.66666667,3.66666667,2.09090909,0.66666667,0.19827586,0.09482759,0.10344828,0.245098039,1.33333333,0.29113924,0.67251462,3.7590723708823877,4.252117502799741,10123
2024,"May","Zack Wheeler","PHI",36.1,145,9.66055046,2.97247706,3.25,0.74311927,0.26896552,0.08275862,0.1862069,0.192307692,1.01834862,0.24444444,0.76923077,3.166479778289795,3.7160667831838707,10310
2024,"May","Chris Sale","ATL",32,124,12.65625,0.5625,22.5,0,0.36290323,0.01612903,0.34677419,0.19327731,0.78125,0.31081081,0.92857143,0.8227297782897951,1.9094858202617617,10603
2024,"May","Jose Quintana","NYM",25,109,5.76,1.08,5.33333333,2.16,0.14678899,0.02752294,0.11926606,0.310679611,1.4,0.31707317,0.59440559,5.6064797782897955,4.663771883249283,11423
2024,"May","Jose Urena","TEX",25,112,5.4,2.52,2.14285714,1.44,0.13392857,0.0625,0.07142857,0.259615384,1.36,0.26744186,0.77464789,4.886479778289795,4.499929193258286,11589
2024,"May","Jameson Taillon","CHC",26.1,117,6.83544304,3.07594937,2.22222222,1.02531646,0.17094017,0.07692308,0.09401709,0.283018867,1.48101266,0.31764706,0.66091954,4.153821550566674,4.567604236897087,11674
2024,"May","James Paxton","LAD",26.1,105,5.46835443,2.05063291,2.66666667,1.70886076,0.15238095,0.05714286,0.0952381,0.237113402,1.10126582,0.23376623,0.91304348,5.217112689941774,4.758389685495049,11828
2024,"May","Taijuan Walker","PHI",26.1,117,7.17721519,3.41772152,2.1,1.36708861,0.17948718,0.08547009,0.09401709,0.307692307,1.59493671,0.35,0.75520833,4.9133152215488884,5.177935266240086,11836
2024,"May","Kyle Hendricks","CHC",9.2,45,8.37931034,3.72413793,2.25,1.86206896,0.2,0.08888889,0.11111111,0.325,1.75862069,0.36666667,0.56338028,5.235445294817739,3.7971074246007785,12049
2024,"May","Aaron Brooks","OAK",17.1,79,4.67307692,2.59615385,1.8,1.55769231,0.11392405,0.06329114,0.05063291,0.314285714,1.55769231,0.31147541,0.71428571,5.416479778722487,5.260029879614986,12272
2024,"May","Chris Bassitt","TOR",30,121,7.8,2.4,3.25,0.3,0.21487603,0.0661157,0.14876033,0.201834862,1,0.25,0.78431373,2.8664797782897953,3.8947545709709326,12304
2024,"May","Colin Rea","MIL",26.1,117,7.51898734,3.07594937,2.44444444,1.02531646,0.18803419,0.07692308,0.11111111,0.277777777,1.48101266,0.3253012,0.74712644,4.0019228163702305,4.12861529895129,12317
2024,"May","Seth Lugo","KCR",40.1,160,9.59504132,2.00826446,4.77777778,0.89256198,0.26875,0.05625,0.2125,0.187919463,0.91735537,0.23300971,0.89506173,3.0673062245625906,3.4275137421236526,12447
2024,"May","Adrian Houser","NYM",10,46,5.4,4.5,1.2,1.8,0.13043478,0.10869565,0.02173913,0.25,1.5,0.25,0.45454545,6.366479778289795,5.580889865756035,12718
2024,"May","Nick Martinez","CIN",4.2,21,3.85714285,1.92857143,2,1.92857143,0.0952381,0.04761905,0.04761905,0.4,1.92857143,0.41176471,0.52631579,5.737908347881632,5.220206671869933,12730
2024,"May","Sonny Gray","STL",28.2,118,10.98837209,2.51162791,4.375,1.56976744,0.29661017,0.06779661,0.22881356,0.205607476,1.04651163,0.24637681,0.70833333,3.933921638665674,2.985091760481119,12768
2024,"May","Mike Clevinger","CHW",16,78,8.4375,5.0625,1.66666667,2.25,0.19230769,0.11538462,0.07692308,0.318840579,1.9375,0.36,0.70866142,6.228979778289795,5.341492913011462,12808
2024,"May","Shawn Armstrong","TBR",4,14,9,0,4,0,0.28571429,0,0.28571429,0.142857142,0.5,0.2,1,1.166479778289795,2.6784881845116617,12857
2024,"May","Tyler Anderson","LAA",33,134,5.72727273,3.81818182,1.5,0.81818182,0.15671642,0.10447761,0.05223881,0.208333333,1.18181818,0.22916667,0.83333333,4.348297960107977,5.365764732794329,12880
2024,"May","Joe Musgrove","SDP",14.1,56,10.67441861,1.25581395,8.5,0.62790698,0.30357143,0.03571429,0.26785714,0.25,1.04651163,0.34285714,0.75342466,2.3292704757695137,2.3716943587559007,12970
2024,"May","Joe Ross","MIL",17,66,6.35294118,2.11764706,3,1.05882353,0.18181818,0.06060606,0.12121212,0.2,0.94117647,0.20833333,0.75757576,3.9900091900545007,4.239430844433167,12972
2024,"May","Yu Darvish","SDP",27.2,110,9.10843373,1.62650602,5.6,1.30120482,0.25454545,0.04545455,0.20909091,0.213592233,0.97590361,0.24657534,0.79439252,3.5640701396876757,3.597333786108921,13074
2024,"May","Ross Stripling","OAK",21.1,104,4.21875,1.6875,2.5,1.265625,0.09615385,0.03846154,0.05769231,0.343434343,1.78125,0.36046512,0.43103448,4.760229778538818,5.200117387940351,13273
2024,"May","Marcus Stroman","NYY",37.2,147,5.49557522,3.34513274,1.64285714,0.71681416,0.15646259,0.0952381,0.06122449,0.190839694,1.03539823,0.20754717,0.89385475,4.17532933572264,4.785745565449945,13431
2024,"May","Blake Snell","SFG",7.1,39,14.72727273,7.36363637,2,1.22727273,0.30769231,0.15384615,0.15384615,0.28125,2.04545455,0.42105263,0.54794521,4.530116142545993,4.613035550219611,13543
2024,"May","Max Fried","ATL",35.1,133,7.38679245,2.54716981,2.9,0.50943396,0.21804511,0.07518797,0.14285714,0.18852459,0.93396226,0.23076923,0.80128205,3.194781665084918,3.4003718048273623,13743
2024,"May","Zach Eflin","TBR",23.2,98,5.32394366,0,14,1.14084507,0.14285714,0,0.14285714,0.275510204,1.14084507,0.2962963,0.70175439,3.6312685106186984,4.283337635484063,13774
2024,"May","Alex Wood","OAK",8,33,4.5,2.25,2,1.125,0.12121212,0.06060606,0.06060606,0.206896551,1,0.19230769,0.45454545,4.541479778289795,4.617489235289395,13781
2024,"May","Chris Flexen","CHW",29.1,128,8.89772727,3.68181818,2.41666667,1.22727273,0.2265625,0.09375,0.1328125,0.271929824,1.46590909,0.3253012,0.64171123,4.189207051133287,4.478309423286866,13896
2024,"May","Brent Suter","CIN",1.1,6,0,6.75000002,0,0,0,0.16666667,-0.16666667,0.2,1.5,0.2,1,5.416479783914795,6.55048609141621,13942
2024,"May","Michael Wacha","KCR",34,140,7.41176471,2.91176471,2.54545455,0.52941176,0.2,0.07857143,0.12142857,0.2265625,1.17647059,0.27272727,0.61827957,3.2547150724074423,4.402255115570391,14078
2024,"May","Kevin Gausman","TOR",26.1,110,11.27848101,2.73417722,4.125,0.34177215,0.3,0.07272727,0.22727273,0.274509803,1.36708861,0.39705882,0.69364162,2.065213955365584,2.6050678027248164,14107
2024,"May","Jose Berrios","TOR",30.2,123,7.92391304,1.4673913,5.4,1.76086957,0.2195122,0.04065041,0.17886179,0.267241379,1.17391304,0.30120482,0.74324324,4.633871082478122,3.8160545896680587,14168
2024,"May","Frankie Montas","CIN",27.2,123,6.18072289,2.60240964,2.375,1.30120482,0.15447154,0.06504065,0.08943089,0.27027027,1.37349398,0.29545455,0.68681319,4.973708693734707,5.280226871367946,14309
2024,"May","Ty Blach","COL",21.2,91,4.98461538,1.66153846,3,1.24615385,0.13186813,0.04395604,0.08791209,0.290697674,1.33846154,0.30555556,0.72580645,4.412633624251925,4.0781186949491985,14361
2024,"May","Tyler Glasnow","LAD",31,118,12.19354839,2.61290323,4.66666667,0.87096774,0.3559322,0.07627119,0.27966102,0.165137614,0.87096774,0.234375,0.65789474,2.5858346169994726,2.5471317187913005,14374
2024,"May","Paul Blackburn","OAK",11,48,6.54545455,3.27272727,2,1.63636364,0.16666667,0.08333333,0.08333333,0.255813953,1.36363636,0.27272727,0.60606061,5.439207051017068,4.587579093602571,14739
2024,"May","Michael Lorenzen","TEX",31.1,123,6.60638298,4.30851064,1.53333333,0.86170213,0.18699187,0.12195122,0.06504065,0.194444444,1.14893617,0.2195122,0.81761006,4.379245735865621,4.7752548575527545,14843
2024,"May","Joe Mantiply","ARI",1,3,0,0,0,0,0,0,0,0,0,0,1,3.166479778289795,4.678488184511662,14857
2024,"May","Jon Gray","TEX",24.1,99,7.76712329,2.21917808,3.5,0,0.21212121,0.06060606,0.15151515,0.252747252,1.19178082,0.31944444,0.82758621,2.1801784082916713,3.795749034339086,14916
2024,"May","Ben Lively","CLE",29.1,121,7.36363636,3.375,2.18181818,1.53409091,0.19834711,0.09090909,0.10743802,0.245454545,1.29545455,0.27160494,0.90322581,4.871025233028948,4.923128751458577,14932
