Season,Month,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2021,"May","Tommy Hunter","NYM",2,7,4.5,0,1,0,0.14285714,0,0.14285714,0,0,0,1,2.170034122467041,3.9343962490558626,1157
2021,"May","Ross Detwiler","MIA",2,6,13.5,0,3,0,0.5,0,0.5,0,0,0,1,0.1700341224670412,1.052215185761452,2859
2021,"May","Zack Greinke","HOU",37,147,7.2972973,2.18918919,3.33333333,0.97297297,0.20408163,0.06122449,0.14285714,0.233576642,1.10810811,0.26923077,0.70621469,3.683547635980555,3.947133431402413,1943
2021,"May","David Price","LAD",4.2,16,11.57142856,0,6,0,0.375,0,0.375,0.1875,0.64285714,0.3,1,0.5986055528752043,0.9766831511598961,3184
2021,"May","Clayton Kershaw","LAD",31.2,128,10.8,2.27368421,4.75,1.42105263,0.296875,0.0625,0.234375,0.213675213,1.04210526,0.26666667,0.64285714,3.7700341224038834,3.2774701080711113,2036
2021,"May","Ervin Santana","KCR",3,14,6,3,2,3,0.14285714,0.07142857,0.07142857,0.307692307,1.66666667,0.3,0.55555556,7.170034122467042,5.18918362458547,3200
2021,"May","Adam Wainwright","STL",31,130,7.25806452,3.77419355,1.92307692,1.4516129,0.19230769,0.1,0.09230769,0.208695652,1.19354839,0.22093023,0.74193548,5.008743799886396,4.733246640236147,2233
2021,"May","Scott Kazmir","SFG",4,13,4.5,0,2,2.25,0.15384615,0,0.15384615,0.153846153,0.5,0.1,1,5.420034122467041,3.9343962490558626,4897
2021,"May","Corey Kluber","NYY",31.2,119,10.23157895,2.84210526,3.6,0.56842105,0.30252101,0.08403361,0.2184874,0.155963302,0.85263158,0.21126761,0.78512397,2.66477096462549,3.292352500074461,2429
2021,"May","Junior Guerra","LAA",1,8,18,18,1,0,0.25,0.25,0,0.5,5,0.75,0.4,5.170034122467041,8.698758375644683,5702
2021,"May","Lance Lynn","CHW",33,135,8.18181818,3.54545455,2.30769231,0.81818182,0.22222222,0.0962963,0.12592593,0.142857142,0.90909091,0.15909091,0.89552239,3.8063977588306774,5.030527931451798,2520
2021,"May","David Hale","PHI",3,11,12,3,4,3,0.36363636,0.09090909,0.27272727,0.2,1,0.2,1,5.836700789133708,3.2677295823891965,9756
2021,"May","Jhoulys Chacin","COL",4,16,6.75,2.25,3,2.25,0.1875,0.0625,0.125,0.266666666,1.25,0.27272727,0.83333333,5.670034122467041,2.8611246541142465,2608
2021,"May","Jimmy Nelson","LAD",1.2,8,16.19999997,10.79999998,1.5,0,0.375,0.25,0.125,0.166666666,1.8,0.33333333,1,3.170034122467041,5.287268670139158,10547
2021,"May","Max Scherzer","WSN",39.1,144,13.04237288,1.83050847,7.125,1.1440678,0.39583333,0.05555556,0.34027778,0.156716417,0.73728814,0.22222222,0.95833333,2.6869832749684774,2.604424150315941,3137
2021,"May","Aaron Sanchez","SFG",4,22,9,2.25,4,2.25,0.18181818,0.04545455,0.13636364,0.35,2,0.4,0.65789474,5.920034122467041,4.875486780703068,11490
2021,"May","Danny Duffy","KCR",18.2,79,10.125,2.89285714,3.5,0.48214286,0.26582278,0.07594937,0.18987342,0.232876712,1.23214286,0.31372549,0.69444444,2.5807484082865564,4.152785427905749,3542
2021,"May","Andrew Kittredge","TBR",2,8,4.5,4.5,1,0,0.125,0.125,0,0.142857142,1,0.16666667,1,3.670034122467041,4.552215185761452,12828
2021,"May","Jake Arrieta","CHC",19.2,89,5.94915254,3.66101695,1.625,1.83050847,0.14606742,0.08988764,0.05617978,0.282051282,1.52542373,0.29032258,0.68181818,6.0174917491030655,5.257403850504703,4153
2021,"May","Charlie Morton","ATL",28.2,125,10.6744186,3.45348837,3.09090909,1.25581395,0.272,0.088,0.184,0.254545454,1.36046512,0.32876712,0.65934066,4.077010866547625,3.309365151009327,4676
2021,"May","Jakob Junis","KCR",1.1,8,6.75000002,0,1,6.75000002,0.125,0,0.125,0.5,3.00000001,0.5,0.38461538,11.420034143092042,5.639848913466427,13619
2021,"May","Matt Shoemaker","MIN",30.2,137,5.57608696,3.81521739,1.46153846,1.4673913,0.13868613,0.09489051,0.04379562,0.272727272,1.5,0.28282828,0.625,5.420034122222476,5.08400888065857,4776
2021,"May","Michael Wacha","TBR",2,7,4.5,0,1,0,0.14285714,0,0.14285714,0.142857142,0.5,0.16666667,1,2.170034122467041,4.816577312350273,14078
2021,"May","Rich Hill","TBR",34.2,132,9.34615385,3.11538462,3,0.51923077,0.27272727,0.09090909,0.18181818,0.145299145,0.83653846,0.18987342,0.99315068,3.1411879686236612,3.968934870205228,4806
2021,"May","Chad Kuhl","PIT",4,19,11.25,0,5,0,0.26315789,0,0.26315789,0.333333333,1.5,0.46153846,0.57142857,1.4200341224670412,2.7433057174086573,14975
2021,"May","Jon Lester","WSN",24.1,103,7.76712329,2.95890411,2.625,1.47945205,0.2038835,0.0776699,0.12621359,0.301075268,1.47945205,0.34285714,0.65789474,4.567294396631049,4.678057105862118,4930
2021,"May","Miguel Castro","NYM",2,8,9,4.5,2,0,0.25,0.125,0.125,0.142857142,1,0.2,1,2.670034122467041,3.552215185761452,15684
2021,"May","Michael Pineda","MIN",17.1,69,10.38461539,3.11538462,3.33333333,2.07692308,0.28985507,0.08695652,0.20289855,0.209677419,1.09615385,0.23076923,0.97014925,4.9008033535691125,4.140186052554805,5372
2021,"May","Adam Plutko","BAL",1,7,0,9,0,18,0,0.14285714,-0.14285714,0.666666666,5,0.5,0.45454545,32.170034122467044,11.463120502233505,15846
2021,"May","Madison Bumgarner","ARI",27,113,9,2.66666667,3.375,1.66666667,0.23893805,0.07079646,0.16814159,0.207920792,1.07407407,0.22535211,0.58333333,4.688552640985559,4.8950150507467765,5524
2021,"May","John Curtiss","MIA",1,5,0,9,0,0,0,0.2,-0.2,0.25,2,0.25,0,6.170034122467041,11.463120502233505,16128
2021,"May","Trevor Cahill","PIT",16.2,76,5.4,3.24,1.66666667,1.08,0.13157895,0.07894737,0.05263158,0.298507462,1.56,0.31578947,0.5785124,4.790034122143041,4.8179600360673955,6249
2021,"May","Erik Swanson","SEA",4.2,16,5.78571428,1.92857143,3,1.92857143,0.1875,0.0625,0.125,0.133333333,0.64285714,0.09090909,1,5.312891263793572,5.1737201680619265,16587
2021,"May","Jake Odorizzi","HOU",5.1,20,6.75,1.6875,4,0,0.2,0.05,0.15,0.157894736,0.75,0.2,0.75,2.2325341218811037,4.2174415155340945,6397
2021,"May","Michael Kopech","CHW",4,16,11.25,4.5,2.5,2.25,0.3125,0.125,0.1875,0.142857142,1,0.125,1,5.420034122467041,4.816577312350273,17282
2021,"May","Alex Cobb","LAA",17,63,10.58823529,3.70588235,2.85714286,0,0.31746032,0.11111111,0.20634921,0.163636363,0.94117647,0.25,0.8125,2.0523870636435118,2.467531093429117,6562
2021,"May","Framber Valdez","HOU",4,18,9,4.5,2,2.25,0.22222222,0.11111111,0.11111111,0.133333333,1,0.1,1,6.670034122467041,3.8611246541142465,17295
2021,"May","Johnny Cueto","SFG",24.1,106,6.65753425,0.73972603,9,0.73972603,0.16981132,0.01886792,0.1509434,0.336633663,1.47945205,0.3902439,0.71022727,3.2522259033002183,4.068941600315221,6893
2021,"May","Tyler Alexander","DET",1,4,18,0,2,0,0.5,0,0.5,0.25,1,0.5,1,-0.8299658775329588,0.9343962490558626,17735
2021,"May","Chase Anderson","PHI",10.2,53,5.90625,5.0625,1.16666667,3.375,0.13207547,0.11320755,0.01886792,0.326086956,1.96875,0.31428571,0.6097561,8.701284120738524,6.803645209950174,6895
2021,"May","Drew Smith","NYM",2,8,13.5,0,3,0,0.375,0,0.375,0.25,1,0.4,0.5,0.1700341224670412,2.8165773123502733,17755
2021,"May","Martin Perez","BOS",27.2,111,8.45783132,2.60240964,3.25,0.97590361,0.23423423,0.07207207,0.16216216,0.225490196,1.12048193,0.2739726,0.82733813,3.6760582187916166,3.7331785408886944,6902
2021,"May","Trent Thornton","TOR",1,8,18,18,1,9,0.25,0.25,0,0.333333333,4,0.33333333,-0.38461538,18.17003412246704,8.698758375644683,17948
2021,"May","J.A. Happ","MIN",23.1,108,8.48571429,3.47142857,2.44444444,1.15714286,0.2037037,0.08333333,0.12037037,0.319587628,1.71428571,0.38356164,0.51630435,4.241462694048674,5.140961792920885,7410
2021,"May","Phil Maton","CLE",1.1,7,20.25000005,6.75000002,3,0,0.42857143,0.14285714,0.28571429,0.333333333,2.25000001,0.66666667,0.66666667,0.9200341168420412,2.2433057150918363,18064
2021,"May","Collin McHugh","TBR",4.2,16,13.49999999,1.92857143,7,0,0.4375,0.0625,0.375,0.133333333,0.64285714,0.25,1,0.8128912670078576,1.5690464635772414,7531
2021,"May","Travis Bergen","TOR",1,3,0,0,0,0,0,0,0,0,0,0,1,3.170034122467041,4.934396249055863,18581
2021,"May","Jordan Lyles","TEX",32,138,9,3.65625,2.46153846,1.125,0.23188406,0.0942029,0.13768116,0.274193548,1.46875,0.33707865,0.70048309,4.013784122467041,3.9877372996881606,7593
2021,"May","Kolby Allard","TEX",4,14,9,2.25,4,4.5,0.28571429,0.07142857,0.21428571,0.153846153,0.75,0,1,8.42003412246704,5.007667843997479,18694
2021,"May","Mike Fiers","OAK",3.1,20,5.40000001,5.40000001,1,5.40000001,0.1,0.1,0,0.5,3.3,0.5,0.73170732,11.57003413086704,7.475194592608727,7754
2021,"May","Nick Neidert","MIA",4,19,6.75,4.5,1.5,0,0.15789474,0.10526316,0.05263158,0.266666666,1.5,0.30769231,0.85714286,3.920034122467041,5.243305717408657,18699
2021,"May","Brett Anderson","MIL",15,70,7.2,4.2,1.71428571,1.8,0.17142857,0.1,0.07142857,0.295081967,1.66666667,0.31914894,0.82568807,5.770034122467042,4.816772107283274,8223
2021,"May","Miguel Diaz","SDP",3,12,9,6,1.5,0,0.25,0.16666667,0.08333333,0.1,1,0.14285714,1,3.1700341224670416,4.346275540192923,18815
2021,"May","Wade Miley","CIN",22.2,98,8.33823529,2.77941176,3,0,0.21428571,0.07142857,0.14285714,0.255555555,1.32352941,0.32857143,0.66666667,2.2435635343679925,3.0219585901015322,8779
2021,"May","Wes Benjamin","TEX",1.2,11,10.79999998,16.19999997,0.66666667,0,0.18181818,0.27272727,-0.09090909,0.428571428,3.59999999,0.5,0.5,6.170034116467042,8.287268664139159,19243
2021,"May","Nathan Eovaldi","BOS",26,111,9,2.42307692,3.71428571,0.34615385,0.23423423,0.06306306,0.17117117,0.235294117,1.19230769,0.30263158,0.62091503,2.5931110455439645,3.7217530085490305,9132
2021,"May","Taylor Widener","ARI",1.2,11,10.79999998,10.79999998,1,0,0.18181818,0.18181818,0,0.142857142,1.8,0.2,0.8,7.970034112867041,10.08726866053916,19266
2021,"May","Patrick Corbin","WSN",35.2,144,6.81308411,2.52336449,2.7,1.26168224,0.1875,0.06944444,0.11805556,0.279069767,1.28971963,0.30392157,0.74358974,4.319566832639982,3.6349031573266672,9323
2021,"May","Keegan Akin","BAL",4.2,21,7.71428571,3.85714285,2,1.92857143,0.19047619,0.0952381,0.0952381,0.263157894,1.5,0.28571429,1,5.527176977926224,5.009928283909887,19362
2021,"May","Dallas Keuchel","CHW",28.2,120,4.39534884,2.19767442,2,1.56976744,0.11666667,0.05833333,0.05833333,0.276785714,1.3255814,0.27956989,0.71875,5.297941098963796,4.446092107605042,9434
2021,"May","Jimmy Lambert","CHW",3.2,19,9.81818181,2.45454545,4,2.45454545,0.21052632,0.05263158,0.15789474,0.388888888,2.18181818,0.46153846,0.75757576,5.351852302301753,5.174725453223253,19541
2021,"May","Garrett Richards","BOS",30.1,126,7.41758242,3.85714286,1.92307692,0.2967033,0.1984127,0.1031746,0.0952381,0.265486725,1.41758242,0.33333333,0.79326923,3.2359681884083527,4.319707154175006,9784
2021,"May","Dustin May","LAD",1.2,7,16.19999997,5.39999999,3,5.39999999,0.42857143,0.14285714,0.28571429,0.166666666,1.2,0,1,9.170034110467041,2.4286513999030994,19716
2021,"May","Miles Mikolas","STL",4,17,6.75,2.25,3,0,0.17647059,0.05882353,0.11764706,0.2,1,0.25,0.8,3.170034122467041,4.934396249055863,9803
2021,"May","Keegan Thompson","CHC",3.2,13,4.9090909,4.9090909,1,0,0.15384615,0.15384615,0,0.181818181,1.09090909,0.22222222,1,3.715488667425719,4.677868008326549,19795
2021,"May","Mike Minor","KCR",34.1,140,10.74757282,3.14563107,3.41666667,0.52427184,0.29285714,0.08571429,0.20714286,0.206349206,1.10679612,0.28571429,0.63535912,2.6748884913510076,3.664839335253525,10021
