Season,Month,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2024,"Sept/Oct","Lance Lynn","STL",11,44,9.81818182,2.45454545,4,0.81818182,0.27272727,0.06818182,0.20454545,0.219512195,1.09090909,0.28571429,0.94339623,2.9846615964716134,3.5897624401883648,2520
2024,"Sept/Oct","Max Scherzer","TEX",4,19,4.5,4.5,1,2.25,0.10526316,0.10526316,0,0.3125,1.75,0.28571429,0.89285714,6.916479778289795,6.312494489178062,3137
2024,"Sept/Oct","Charlie Morton","ATL",28,118,8.67857143,4.17857143,2.07692308,0.64285714,0.22881356,0.11016949,0.11864407,0.252427184,1.39285714,0.32,0.75268817,3.666479778289795,3.9799152548291854,4676
2024,"Sept/Oct","Ryan Brasier","LAD",3,12,9,3,3,0,0.25,0.08333333,0.16666667,0.181818181,1,0.25,0.66666667,2.1664797782897955,4.182490986585618,5615
2024,"Sept/Oct","Albert Suarez","BAL",24.2,107,8.39189189,2.91891892,2.875,3.28378378,0.21495327,0.07476636,0.14018692,0.275510204,1.41891892,0.26865672,0.80357143,7.017831129120694,4.6651957717083254,6175
2024,"Sept/Oct","Alex Cobb","CLE",6,20,9,0,6,0,0.3,0,0.3,0.1,0.33333333,0.14285714,0.5,1.1664797782897955,1.4184811793267733,6562
2024,"Sept/Oct","Martin Perez","SDP",20.1,84,7.08196721,3.09836066,2.28571429,0.8852459,0.19047619,0.08333333,0.10714286,0.226666666,1.18032787,0.25862069,0.76576577,4.051725680074261,4.3346196078579755,6902
2024,"Sept/Oct","Fernando Cruz","CIN",1,5,27,0,3,9,0.6,0,0.6,0.4,2,1,0,10.166479778289794,-1.3215118154883383,7048
2024,"Sept/Oct","Justin Verlander","HOU",23.1,115,5.4,3.08571429,1.75,1.15714286,0.12173913,0.06956522,0.05217391,0.339805825,1.84285714,0.36363636,0.51470588,4.923622635683673,5.973809195604488,8700
2024,"Sept/Oct","Nathan Eovaldi","TEX",30.2,132,8.2173913,2.93478261,2.8,1.4673913,0.21212121,0.07575758,0.13636364,0.25,1.30434783,0.28409091,0.70588235,4.536044995532234,4.290055411964328,9132
2024,"Sept/Oct","Patrick Corbin","WSN",27.1,122,8.56097561,1.97560976,4.33333333,1.64634146,0.21311475,0.04918033,0.16393443,0.293103448,1.46341463,0.34117647,0.63636364,4.30062611989152,3.803368283667835,9323
2024,"Sept/Oct","Miles Mikolas","STL",22,97,8.18181818,0.40909091,20,2.04545455,0.20618557,0.01030928,0.19587629,0.319148936,1.40909091,0.36231884,0.57692308,4.711934323744341,3.613035549562086,9803
2024,"Sept/Oct","Kyle Gibson","STL",22,96,6.95454545,4.90909091,1.41666667,1.63636364,0.17708333,0.125,0.05208333,0.216867469,1.36363636,0.22222222,0.6557377,5.621025232835249,5.387946168875152,10123
2024,"Sept/Oct","Zack Wheeler","PHI",32.1,122,11.41237114,1.94845361,5.85714286,0.83505155,0.33606557,0.05737705,0.27868852,0.173913043,0.83505155,0.23943662,0.83333333,2.486067407085629,2.5892499444430372,10310
2024,"Sept/Oct","Chris Sale","ATL",24,94,10.5,1.875,5.6,0.375,0.29787234,0.05319149,0.24468085,0.206896551,0.95833333,0.29310345,0.93220339,2.249813111623129,3.3461555516968176,10603
2024,"Sept/Oct","Jacob deGrom","TEX",10.2,44,11.8125,0.84375,14,0.84375,0.31818182,0.02272727,0.29545455,0.261904761,1.125,0.37037037,0.94827586,2.322729778553467,2.8049892354023607,10954
2024,"Sept/Oct","Merrill Kelly","ARI",27.2,110,9.75903614,1.62650602,6,0.65060241,0.27272727,0.04545455,0.22727273,0.211538461,0.97590361,0.27777778,0.67460317,2.588166525347423,2.905378332891239,11156
2024,"Sept/Oct","Jose Quintana","NYM",25,92,8.28,2.16,3.83333333,0,0.25,0.06521739,0.18478261,0.176470588,0.84,0.23809524,0.9047619,2.046479778289795,2.953684822022915,11423
2024,"Sept/Oct","Jameson Taillon","CHC",32,123,5.90625,1.96875,3,0.28125,0.17073171,0.05691057,0.11382114,0.17699115,0.84375,0.20430108,0.93984962,3.010229778289795,4.115988184511662,11674
2024,"Sept/Oct","Taijuan Walker","PHI",3.1,19,5.40000001,8.10000001,0.66666667,10.80000001,0.10526316,0.15789474,-0.05263158,0.4,2.7,0.22222222,0.45454545,21.166479796289796,7.834492392290608,11836
2024,"Sept/Oct","Kyle Hendricks","CHC",28,114,5.78571429,3.53571429,1.63636364,0.32142857,0.15789474,0.09649123,0.06140351,0.22,1.17857143,0.25,0.75949367,3.5236226354326523,4.787346528257642,12049
