Season,Month,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2024,"Mar/Apr","Lance Lynn","STL",30.2,136,8.51086956,3.81521739,2.23076923,1.4673913,0.21323529,0.09558824,0.11764706,0.247933884,1.40217391,0.28409091,0.86486486,4.76430586507264,4.6662301473147085,2520
2024,"Mar/Apr","Ryan Brasier","LAD",1,4,9,9,1,0,0.25,0.25,0,0,1,0,1,4.166479778289795,7.190496590733528,5615
2024,"Mar/Apr","Charlie Morton","ATL",30,120,8.4,3.3,2.54545455,0.6,0.23333333,0.09166667,0.14166667,0.214953271,1.13333333,0.27272727,0.72289157,3.466479778289795,3.910220397015413,4676
2024,"Mar/Apr","Justin Steele","CHC",4.2,18,11.57142856,1.92857143,6,0,0.33333333,0.05555556,0.27777778,0.2,0.85714286,0.27272727,0.75,1.2379083510959175,2.857917356605054,17312
2024,"Mar/Apr","Albert Suarez","BAL",15.1,63,8.80434783,1.76086957,5,0.58695652,0.23809524,0.04761905,0.19047619,0.24137931,1.10869565,0.30232558,0.84337349,2.8403928216971677,3.8661423687602956,6175
2024,"Mar/Apr","Daulton Jefferies","SFG",2,16,4.5,0,1,9,0.0625,0,0.0625,0.5625,4.5,0.53846154,0,15.166479778289794,5.946500793844462,19345
2024,"Mar/Apr","Carlos Carrasco","CLE",27.1,126,7.57317073,4.93902439,1.53333333,1.64634146,0.18253968,0.11904762,0.06349206,0.287037037,1.68292683,0.325,0.69047619,5.837211485932567,5.1186841268201615,6632
2024,"Mar/Apr","Julio Teheran","NYM",2.2,16,10.12499999,6.74999999,1.5,3.375,0.1875,0.125,0.0625,0.428571428,3,0.5,0.60606061,8.041479772196045,6.001495536412025,6797
2024,"Mar/Apr","Chase Anderson","BOS",1.2,12,0,16.19999997,0,10.79999998,0,0.25,-0.25,0.375,3.59999999,0.16666667,0.47619048,25.966479732689795,14.902504973483346,6895
2024,"Mar/Apr","Martin Perez","PIT",34.2,148,7.00961538,3.375,2.07692308,0.25961538,0.18243243,0.08783784,0.0945946,0.257575757,1.35576923,0.31428571,0.77731092,3.281864393663316,4.5206425963386945,6902
2024,"Mar/Apr","Justin Verlander","HOU",10.1,41,9.58064516,3.48387097,2.75,0.87096774,0.26829268,0.09756098,0.17073171,0.189189189,1.06451613,0.24,0.9375,3.4568023590286088,3.954618572866201,8700
2024,"Mar/Apr","Wade Miley","MIL",7,30,2.57142857,5.14285714,0.5,1.28571429,0.06666667,0.13333333,-0.06666667,0.25,1.42857143,0.22727273,0.625,6.595051206861223,6.033915555051395,8779
2024,"Mar/Apr","Nathan Eovaldi","TEX",36,148,9,4.25,2.11764706,0.75,0.24324324,0.11486486,0.12837838,0.214285714,1.22222222,0.26966292,0.81775701,3.916479778289795,4.093153450141351,9132
2024,"Mar/Apr","Patrick Corbin","WSN",31.2,148,6.25263158,3.69473684,1.69230769,1.13684211,0.14864865,0.08783784,0.06081081,0.353383458,1.89473684,0.39449541,0.60661765,4.650690304449352,4.441014057734244,9323
2024,"Mar/Apr","Miles Mikolas","STL",32,139,7.03125,1.96875,3.57142857,1.6875,0.17985612,0.05035971,0.1294964,0.310077519,1.46875,0.34,0.68181818,4.791479778289795,4.054989235289395,9803
2024,"Mar/Apr","Kyle Gibson","STL",38,152,6.86842105,3.31578947,2.07142857,1.42105263,0.19078947,0.09210526,0.09868421,0.214814814,1.13157895,0.2254902,0.78651685,4.8770060940792685,4.415962311154917,10123
2024,"Mar/Apr","Zack Wheeler","PHI",37.1,148,11.08928572,2.65178571,4.18181818,0.48214286,0.31081081,0.07432432,0.23648649,0.164179104,0.88392857,0.22988506,0.74534161,2.4432654925109367,2.8808432257878347,10310
2024,"Mar/Apr","Chris Sale","ATL",31.2,123,9.37894737,1.98947368,4.71428571,1.13684211,0.26829268,0.05691057,0.21138211,0.192982456,0.91578947,0.23076923,0.69672131,3.4822692519407648,3.1293501035986635,10603
2024,"Mar/Apr","Merrill Kelly","ARI",24.2,92,7.66216216,2.18918919,3.5,1.09459459,0.22826087,0.06521739,0.16304348,0.2,0.93243243,0.22580645,0.90425532,3.7745878863157265,3.664650119411318,11156
2024,"Mar/Apr","Jose Quintana","NYM",33.2,144,6.14851485,4.00990099,1.53333333,0.8019802,0.15972222,0.10416667,0.05555556,0.236220472,1.33663366,0.26213592,0.78431373,4.29519264946517,4.663755594326009,11423
2024,"Mar/Apr","Jameson Taillon","CHC",18,71,4.5,1.5,3,1,0.12676056,0.04225352,0.08450704,0.208955223,0.94444444,0.21052632,0.91549296,4.11092422273424,4.7664914535979435,11674
2024,"Mar/Apr","James Paxton","LAD",25.2,114,5.25974026,7.71428571,0.68181818,0.7012987,0.13157895,0.19298246,-0.06140351,0.233333333,1.67532468,0.25333333,0.82089552,5.582064193560498,6.39526915161896,11828
2024,"Mar/Apr","Taijuan Walker","PHI",6.1,27,5.68421053,2.84210526,2,2.84210526,0.14814815,0.07407407,0.07407407,0.32,1.57894737,0.31578947,0.55555556,6.955953464494781,5.238071999730423,11836
2024,"Mar/Apr","Kyle Hendricks","CHC",21,106,6.85714286,3,2.28571429,3.42857143,0.1509434,0.06603774,0.08490566,0.37755102,2.0952381,0.39189189,0.50295858,7.737908349718366,4.513537004448119,12049
2024,"Mar/Apr","Chris Bassitt","TOR",30.1,140,8.9010989,5.04395604,1.76470588,1.78021978,0.21428571,0.12142857,0.09285714,0.319672131,1.84615385,0.38372093,0.72016461,5.540106152177007,4.513916940840432,12304
2024,"Mar/Apr","Colin Rea","MIL",27.2,119,5.85542169,2.92771084,2,1.62650602,0.1512605,0.07563025,0.07563025,0.23853211,1.26506024,0.24418605,0.86206897,5.299009898514791,4.862394026920359,12317
2024,"Mar/Apr","Seth Lugo","KCR",38,151,5.44736842,2.13157895,2.55555556,0.47368421,0.15231788,0.05960265,0.09271523,0.235714285,1.10526316,0.26724138,0.89552239,3.429637673026637,4.615542807037893,12447
