Season,Month,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2021,"Sept/Oct","Zack Greinke","HOU",9,42,7,4,1.75,4,0.16666667,0.0952381,0.07142857,0.263157894,1.55555556,0.22222222,0.11904762,8.725589678022597,4.71217402683364,1943
2021,"Sept/Oct","Scott Kazmir","SFG",4.1,26,6.23076924,10.38461539,0.6,0,0.11538462,0.19230769,-0.07692308,0.35,2.76923077,0.38888889,0.66666667,5.246957200987751,7.282759656310085,4897
2021,"Sept/Oct","Clayton Kershaw","LAD",15.1,66,9.97826087,1.17391304,8.5,1.17391304,0.25757576,0.03030303,0.22727273,0.285714285,1.30434783,0.35555556,0.63953488,3.0395993398299903,2.609685213158946,2036
2021,"Sept/Oct","Jesse Chavez","ATL",4.2,18,3.85714285,3.85714285,1,0,0.11111111,0.11111111,0,0.125,0.85714286,0.14285714,1,3.5986055507323473,7.001303935294576,5448
2021,"Sept/Oct","Adam Wainwright","STL",36.2,149,4.66363636,2.45454545,1.9,0.98181818,0.12751678,0.06711409,0.06040269,0.239130434,1.17272727,0.25,0.7486631,4.37003412235795,4.587897185175052,2233
2021,"Sept/Oct","Corey Kluber","NYY",22.2,102,8.33823529,3.17647059,2.625,0.79411765,0.20588235,0.07843137,0.12745098,0.311111111,1.58823529,0.37681159,0.76704545,3.78768118119974,4.74228900831957,2429
2021,"Sept/Oct","Collin McHugh","TBR",3.1,13,2.7,0,1,0,0.07692308,0,0.07692308,0.307692307,1.2,0.33333333,1,2.570034121867041,4.687268675890861,7531
2021,"Sept/Oct","Lance Lynn","CHW",21.1,84,10.125,1.265625,8,0.84375,0.28571429,0.03571429,0.25,0.240506329,1.03125,0.30909091,0.67708333,2.5606591223718267,3.2441120402071895,2520
2021,"Sept/Oct","David Robertson","TBR",1,3,9,9,1,0,0.33333333,0.33333333,0,0,1,0,1,4.170034122467041,5.934396249055863,8241
2021,"Sept/Oct","Max Scherzer","LAD",39.1,150,10.98305085,0.68644068,16,0.68644068,0.32,0.02,0.3,0.197278911,0.81355932,0.27083333,0.71942446,1.9496951393127753,2.9767196062599033,3137
2021,"Sept/Oct","Noah Syndergaard","NYM",2,8,9,0,2,4.5,0.25,0,0.25,0.375,1.5,0.4,0.625,7.670034122467041,3.8165773123502733,11762
2021,"Sept/Oct","Jake Arrieta","SDP",9,43,6,4,1.5,2,0.13953488,0.09302326,0.04651163,0.305555555,1.66666667,0.3,0.37878788,6.3922563446892635,5.463769818676843,4153
2021,"Sept/Oct","Louis Head","TBR",1,3,9,0,1,0,0.33333333,0,0.33333333,0,0,0,1,1.1700341224670412,2.9343962490558626,13259
2021,"Sept/Oct","Charlie Morton","ATL",34.2,135,9.08653846,2.33653846,3.88888889,0.25961538,0.25925926,0.06666667,0.19259259,0.175,0.86538462,0.22988506,0.7278481,2.5642648917560575,3.7670117933015663,4676
2021,"Sept/Oct","Cam Bedrosian","PHI",1.1,5,13.50000003,6.75000002,2,0,0.4,0.2,0.2,0,0.75,0,1,2.420034120592041,3.743305718841836,13360
2021,"Sept/Oct","Rich Hill","NYM",31.2,135,9.94736842,3.41052632,2.91666667,0.56842105,0.25925926,0.08888889,0.17037037,0.237288135,1.26315789,0.31325301,0.7960199,3.2016130698321383,4.497794990023336,4806
2021,"Sept/Oct","Pierce Johnson","SDP",1,5,18,0,2,0,0.4,0,0.4,0.25,1,0.5,1,2.170034122467041,3.9343962490558626,13435
