Season,Month,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2023,"Jun","Zack Greinke","KCR",25,112,5.04,1.44,3.5,1.8,0.125,0.03571429,0.08928572,0.358490566,1.68,0.375,0.61111111,5.335040359497071,5.049732815027237,1943
2023,"Jun","Chris Sale","BOS",3.2,16,14.72727271,2.45454545,6,0,0.375,0.0625,0.3125,0.333333333,1.63636363,0.55555556,0.83333333,0.8004949071830207,3.5059795930055024,10603
2023,"Jun","Clayton Kershaw","LAD",33,124,8.18181818,2.18181818,3.75,1.09090909,0.24193548,0.06451613,0.17741935,0.181034482,0.87878788,0.20731707,1,3.7398888443455554,3.6170767493320235,2036
2023,"Jun","John Brebbia","SFG",5,21,5.4,5.4,1,0,0.14285714,0.14285714,0,0.166666666,1.2,0.2,1,3.8550403594970706,5.839062464237213,12777
2023,"Jun","Adam Wainwright","STL",22,110,3.68181818,3.68181818,1,2.04545455,0.08181818,0.08181818,0,0.396039603,2.22727273,0.40229885,0.64285714,6.618676723133435,6.219311251965436,2233
2023,"Jun","Shawn Armstrong","TBR",2,7,4.5,0,1,0,0.14285714,0,0.14285714,0.142857142,0.5,0.16666667,1,2.2550403594970705,3.08171623647213,12857
2023,"Jun","Lance Lynn","CHW",28.2,129,12.55813953,3.13953488,4,2.19767442,0.31007752,0.07751938,0.23255814,0.27118644,1.46511628,0.34722222,0.65217391,4.685272917470299,3.4141313320490574,2520
2023,"Jun","Sam Moll","OAK",1,4,27,0,3,0,0.75,0,0.75,0.25,1,1,1,-2.7449596405029295,-1.0916078865528105,14874
2023,"Jun","Max Scherzer","NYM",36,153,11.5,1.25,9.2,1.5,0.30065359,0.03267974,0.26797386,0.28275862,1.27777778,0.37234043,0.75757576,3.449484803941515,2.9820963288346927,3137
2023,"Jun","Jose De Leon","MIN",2,6,9,0,2,0,0.33333333,0,0.33333333,0,0,0,1,1.2550403594970705,3.735067990422249,15463
2023,"Jun","Charlie Morton","ATL",27.1,123,12.18292683,4.93902439,2.46666667,0.98780488,0.30081301,0.12195122,0.17886179,0.252427184,1.5,0.35384615,0.72864322,3.950162310801354,3.8540795761641227,4676
2023,"Jun","Zack Littell","TBR",2,7,13.5,0,3,0,0.42857143,0,0.42857143,0.142857142,0.5,0.25,1,0.2550403594970705,2.735067990422249,15823
2023,"Jun","Rich Hill","PIT",30.1,132,7.41758242,4.45054945,1.66666667,0.59340659,0.18939394,0.11363636,0.07575758,0.241071428,1.38461538,0.28409091,0.67961165,4.145150249704775,4.814178242435547,4806
2023,"Jun","Alex Cobb","SFG",21.2,93,9.13846154,1.24615385,7.33333333,0,0.23655914,0.03225806,0.20430108,0.272727272,1.24615385,0.35820896,0.67857143,1.7781172828012124,3.1516710474099954,6562
2023,"Jun","Touki Toussaint","CLE",3.2,19,4.9090909,12.27272726,0.4,0,0.10526316,0.26315789,-0.15789474,0.25,2.18181818,0.25,0.75,6.255040356769798,7.607782699681039,16929
2023,"Jun","Carlos Carrasco","NYM",21.2,103,8.30769231,5.4,1.53846154,2.49230769,0.19417476,0.12621359,0.06796117,0.303370786,1.84615385,0.33333333,0.76687117,6.947348051236716,4.873518901355876,6632
2023,"Jun","Jalen Beeks","TBR",1.2,8,16.19999997,5.39999999,3,0,0.375,0.125,0.25,0.285714285,1.8,0.5,1,1.4550403630970705,3.439062463869169,17192
2023,"Jun","Julio Teheran","MIL",30,114,6,2.1,2.85714286,2.1,0.1754386,0.06140351,0.11403509,0.213592233,0.96666667,0.19480519,0.9009009,5.955040359497071,4.850617405772209,6797
2023,"Jun","Jose Cuas","KCR",1.1,7,6.75000002,6.75000002,1,0,0.14285714,0.14285714,0,0.5,2.25000001,0.5,0.5,6.25504036699707,8.735068004122319,17701
2023,"Jun","Chase Anderson","COL",25,124,8.64,3.96,2.18181818,3.6,0.19354839,0.08870968,0.10483871,0.348623853,1.96,0.36842105,0.57894737,8.21504035949707,5.263598744869233,6895
2023,"Jun","Tyler Alexander","DET",3,10,9,0,3,3,0.3,0,0.3,0.1,0.33333333,0,1,5.588373692830404,3.459509364763896,17735
2023,"Jun","Martin Perez","TEX",29.1,120,4.90909091,3.06818182,1.6,0.92045455,0.13333333,0.08333333,0.05,0.224299065,1.15909091,0.23076923,0.63758389,4.516403996004044,5.0468792647127545,6902
2023,"Jun","Trevor Kelley","TBR",2.1,9,7.71428573,0,2,0,0.22222222,0,0.22222222,0.125,0.42857143,0.16666667,1,2.826468930313397,4.952206902714604,18454
2023,"Jun","Jordan Lyles","KCR",30,122,5.7,2.1,2.71428571,0.9,0.1557377,0.05737705,0.09836066,0.234782608,1.13333333,0.25806452,0.53691275,3.988373692830404,4.9479544232289,7593
2023,"Jun","Kolby Allard","ATL",4.2,18,15.42857142,1.92857143,8,0,0.44444444,0.05555556,0.38888889,0.176470588,0.85714286,0.33333333,1,0.4693260757725808,1.177905398387932,18694
2023,"Jun","Justin Verlander","NYM",27,117,9,3,3,1,0.23076923,0.07692308,0.15384615,0.264150943,1.37037037,0.32467532,0.79881657,3.810595915052626,3.958267974412,8700
2023,"Jun","Trevor Richards","TOR",9,35,14,3,4.66666667,2,0.4,0.08571429,0.31428572,0.15625,0.88888889,0.1875,0.96153846,4.032818137274848,3.1646925032138826,19309
2023,"Jun","Wade Miley","MIL",15,55,6,3,2,0.6,0.18181818,0.09090909,0.09090909,0.16,0.86666667,0.17948718,0.94827586,3.7883736928304037,3.693271178007126,8779
2023,"Jun","Caleb Ferguson","LAD",1,6,18,0,2,0,0.33333333,0,0.33333333,0.5,3,0.75,0.66666667,-0.7449596405029295,0.9083921134471895,19349
2023,"Jun","Nathan Eovaldi","TEX",31,122,9,2.61290323,3.44444444,1.4516129,0.25409836,0.07377049,0.18032787,0.198198198,1,0.22666667,0.76923077,4.4163306820777155,3.8662403873858917,9132
2023,"Jun","Will Vest","DET",2.2,11,6.74999999,0,2,0,0.18181818,0,0.18181818,0.272727272,1.125,0.33333333,1,1.7550403613720704,4.235067989197215,19769
2023,"Jun","Patrick Corbin","WSN",29,132,7.44827586,3.4137931,2.18181818,1.24137931,0.18181818,0.08333333,0.09848485,0.322033898,1.68965517,0.36956522,0.76576577,4.634350704324657,4.494599009998914,9323
2023,"Jun","Justin Garza","BOS",1,7,18,0,2,18,0.28571429,0,0.28571429,0.571428571,4,0.66666667,0.83333333,25.25504035949707,2.5617438673973085,19784
2023,"Jun","Miles Mikolas","STL",29.2,135,3.64044944,2.12359551,1.71428571,0.60674157,0.08888889,0.05185185,0.03703704,0.325203252,1.58426966,0.33928571,0.62770563,4.2325684492748765,5.864057064633878,9803
2023,"Jun","Kaleb Ort","BOS",4.1,17,10.38461539,2.07692308,5,4.15384616,0.29411765,0.05882353,0.23529412,0.25,1.15384615,0.22222222,0.90909091,7.639655747485236,3.547369306587461,20061
2023,"Jun","Kyle Gibson","BAL",25,117,9.72,2.88,3.375,0.72,0.23076923,0.06837607,0.16239316,0.300970873,1.56,0.37179487,0.57591623,3.3350403594970706,4.080660253763199,10123
2023,"Jun","Brusdar Graterol","LAD",2,7,13.5,4.5,3,0,0.42857143,0.14285714,0.28571429,0,0.5,0,1,1.7550403594970705,1.7550403594970705,20367
2023,"Jun","Zack Wheeler","PHI",28.1,122,9.52941177,2.22352941,4.28571429,0.63529412,0.24590164,0.05737705,0.18852459,0.258928571,1.27058824,0.33333333,0.68181818,3.007981535938593,4.191063764626166,10310
2023,"Jun","Ryan Walker","SFG",4.2,23,11.57142856,7.71428571,1.5,3.85714285,0.26086957,0.17391304,0.08695652,0.368421052,2.35714286,0.45454545,1,8.826468926946049,5.3807783273431244,20423
2023,"Jun","Merrill Kelly","ARI",31.1,129,8.32978723,3.44680851,2.41666667,1.43617021,0.2248062,0.09302326,0.13178295,0.245614035,1.27659574,0.2804878,0.73529412,4.723125466036229,4.073354105009228,11156
