"last_name, first_name","player_id","year","player_age","pa","hit","double","home_run","strikeout","walk","k_percent","bb_percent","b_rbi","r_total_stolen_base","r_run","xba","xslg","woba","xwoba","avg_swing_speed","barrel_batted_rate","whiff_percent"
"Brown, Seth",664913,2023,30,378,76,19,14,101,30,26.7,7.9,"52","3","33",".232",".455",".298",".322","73.8",12.2,31.3
"Sosa, Edmundo",624641,2023,27,300,70,15,10,74,8,24.7,2.7,"30","4","34",".234",".391",".309",".290","73.1",6.7,28.7
"Cabrera, Miguel",408234,2023,40,370,86,20,4,74,31,20,8.4,"34","0","21",".243",".365",".299",".301","68.2",4.2,25.6
"Perdomo, Geraldo",672695,2023,23,495,100,20,6,86,64,17.4,12.9,"47","16","71",".203",".277",".319",".277","65.7",0.9,15.1
"Realmuto, J.T.",592663,2023,32,540,123,28,20,138,35,25.6,6.5,"63","16","70",".249",".467",".324",".334","73.5",11.2,26.2
"Alvarez, Francisco",682626,2023,21,423,80,12,25,110,34,26,8,"63","2","51",".204",".428",".310",".306","74.5",12.8,31.8
"Díaz, Aledmys",649557,2023,32,344,72,20,4,66,17,19.2,4.9,"24","1","25",".232",".333",".268",".274","70.8",2.8,22.3
"Nimmo, Brandon",607043,2023,30,682,162,30,24,146,74,21.4,10.9,"68","3","89",".257",".457",".359",".352","72.7",9.5,22
"O'Hearn, Ryan",656811,2023,29,368,100,22,14,82,15,22.3,4.1,"60","5","48",".258",".469",".339",".324","72.2",10.1,23.3
"Kelenic, Jarred",672284,2023,23,416,94,25,11,132,41,31.7,9.9,"49","13","44",".260",".439",".321",".333","72.2",9.5,33.8
"Lowe, Nathaniel",663993,2023,27,724,163,38,17,165,93,22.8,12.8,"82","1","89",".259",".408",".340",".339","74.1",6.5,20.6
"Dubón, Mauricio",643289,2023,28,492,130,26,10,70,19,14.2,3.9,"46","7","76",".271",".392",".311",".303","69.8",4.5,17.7
"Ohtani, Shohei",660271,2023,28,599,151,26,44,143,91,23.9,15.2,"95","20","102",".290",".646",".433",".428","77.4",19.6,32.3
"Cooper, Garrett",643265,2023,32,457,106,18,17,132,31,28.9,6.8,"61","0","42",".248",".433",".313",".317","73.8",10.3,30.7
"Massey, Michael",686681,2023,25,461,98,18,15,99,24,21.5,5.2,"55","6","42",".257",".434",".283",".318","70.8",7.8,22.4
"Garver, Mitch",641598,2023,32,344,80,11,19,82,44,23.8,12.8,"50","0","45",".250",".496",".374",".365","70.8",12.6,23.7
"Polanco, Jorge",593871,2023,29,343,77,18,14,88,36,25.7,10.5,"48","4","38",".247",".491",".340",".350","70.6",13.8,24.9
"Alvarez, Yordan",670541,2023,26,496,120,24,31,92,69,18.5,13.9,"97","0","77",".292",".632",".415",".436","76.7",18,22.4
"Yastrzemski, Mike",573262,2023,32,381,77,23,15,99,45,26,11.8,"43","2","54",".228",".428",".333",".326","70.6",9.8,23.6
"Segura, Jean",516416,2023,33,326,66,5,3,47,22,14.4,6.7,"21","6","25",".238",".343",".250",".284","70",3.5,19.2
"Varsho, Daulton",662139,2023,26,581,116,23,20,135,45,23.2,7.7,"61","16","65",".229",".398",".293",".303","74.6",7.3,24.7
"Wong, Connor",657136,2023,27,403,87,25,9,134,22,33.3,5.5,"36","8","55",".208",".365",".292",".274","71.2",9.1,32.3
"Monasterio, Andruw",655316,2023,26,315,73,14,3,66,28,21,8.9,"27","7","38",".245",".375",".302",".308","67.1",5.5,21.7
"Hoerner, Nico",663538,2023,26,688,175,27,9,83,49,12.1,7.1,"68","43","98",".272",".361",".322",".313","68.8",1.8,12.5
"Noda, Ryan",676116,2023,27,495,93,22,16,170,77,34.3,15.6,"54","3","63",".209",".396",".342",".334","72.2",13,36.9
"McMahon, Ryan",641857,2023,28,627,133,31,23,198,68,31.6,10.8,"70","5","80",".241",".445",".325",".334","72.2",11.4,32.3
"Olivares, Edward",658668,2023,27,385,93,23,12,64,22,16.6,5.7,"36","11","47",".266",".452",".329",".335","71.1",7.9,22.9
"Laureano, Ramón",657656,2023,28,404,81,18,9,114,33,28.2,8.2,"35","12","46",".227",".377",".298",".304","71.1",9.7,29
"Bellinger, Cody",641355,2023,27,556,153,29,26,87,40,15.6,7.2,"97","20","95",".266",".436",".370",".328","70",6.1,20.1
"Cronenworth, Jake",630105,2023,29,522,105,24,10,97,46,18.6,8.8,"48","6","54",".234",".374",".301",".306","68.3",4.4,16
"Paredes, Isaac",670623,2023,24,571,123,24,31,104,58,18.2,10.2,"98","1","71",".228",".374",".362",".316","68.1",5.9,18.2
"Arcia, Orlando",606115,2023,28,533,129,25,17,102,39,19.1,7.3,"65","1","66",".242",".396",".321",".306","71.1",6.9,24.3
"McCarthy, Jake",664983,2023,25,312,67,7,2,62,26,19.9,8.3,"16","26","37",".241",".336",".289",".295","68.8",2.3,22.6
"Stott, Bryson",681082,2023,25,640,164,32,15,100,39,15.6,6.1,"62","31","78",".265",".393",".323",".312","67.9",4.7,15.3
"Rosario, Amed",642708,2023,27,545,134,25,6,99,29,18.2,5.3,"58","15","70",".267",".384",".297",".306","71.2",3.4,23.1
"Bell, Josh",605137,2023,30,617,135,28,22,134,63,21.7,10.2,"74","0","52",".257",".459",".323",".343","72.3",10.1,25.8
"McKinstry, Zach",656716,2023,28,518,107,21,9,113,44,21.8,8.5,"35","16","60",".243",".401",".289",".312","67.9",7.6,20.5
"Schwarber, Kyle",656941,2023,30,720,115,19,47,215,126,29.9,17.5,"104","0","108",".215",".489",".350",".363","77.1",16.4,31.5
"Margot, Manuel",622534,2023,28,336,82,21,4,55,18,16.4,5.4,"38","9","39",".259",".371",".299",".301","71.6",3.9,24.4
"Bohm, Alec",664761,2023,26,611,153,31,20,94,42,15.4,6.9,"97","4","74",".286",".456",".329",".344","72",5.7,18.1
"Waters, Drew",671221,2023,24,337,69,11,8,107,27,31.8,8,"32","16","40",".230",".414",".296",".313","73",10.1,32.5
"Verdugo, Alex",657077,2023,27,602,144,37,13,93,45,15.4,7.5,"54","5","81",".274",".420",".322",".331","67.5",5,15.6
"Benson, Will",666181,2023,25,329,79,15,11,103,40,31.3,12.2,"31","19","51",".226",".401",".369",".321","70.3",10.3,31.5
"Volpe, Anthony",683011,2023,22,601,113,23,21,167,52,27.8,8.7,"60","24","62",".228",".402",".290",".308","70.9",9,28.2
"Kirilloff, Alex",666135,2023,25,319,76,14,11,80,28,25.1,8.8,"41","1","35",".258",".429",".343",".335","70.3",7.4,27.6
"Díaz, Elias",553869,2023,32,526,130,25,14,118,34,22.4,6.5,"72","1","48",".242",".379",".314",".296","73.6",6.2,28.4
"Alonso, Pete",624413,2023,28,658,123,21,46,151,65,22.9,9.9,"118","4","92",".242",".534",".346",".369","75.7",14.7,26.2
"Gurriel, Yuli",493329,2023,39,329,73,16,4,44,26,13.4,7.9,"27","4","32",".235",".325",".287",".275","70.6",1.9,16
"Moustakas, Mike",519058,2023,34,386,87,15,12,95,23,24.6,6,"48","0","43",".215",".355",".294",".271","71.6",5.7,27.3
"Walker, Christian",572233,2023,32,661,150,36,33,127,62,19.2,9.4,"103","11","86",".247",".465",".351",".340","75",11.4,26.4
"Marsh, Brandon",669016,2023,25,472,112,25,12,144,59,30.5,12.5,"60","10","58",".229",".394",".358",".322","71.8",9.1,27.4
"Fortes, Nick",663743,2023,26,323,60,10,6,59,17,18.3,5.3,"26","4","33",".208",".329",".251",".264","70.3",3.8,17.1
"Suárez, Eugenio",553993,2023,31,694,139,29,22,214,70,30.8,10.1,"96","2","68",".218",".421",".313",".323","72.3",13.2,32.8
"Mateo, Jorge",622761,2023,28,350,69,14,7,82,22,23.4,6.3,"34","32","58",".237",".378",".265",".292","73.4",5.3,28.1
"Torkelson, Spencer",679529,2023,23,684,141,34,31,171,67,25,9.8,"94","3","88",".245",".488",".326",".348","75",14.1,24.7
"Grichuk, Randal",545341,2023,31,471,116,31,16,96,29,20.4,6.2,"44","2","65",".259",".436",".333",".325","74.5",7.1,26.7
"Thomas, Alek",677950,2023,23,402,86,17,9,86,19,21.4,4.7,"39","9","51",".247",".374",".278",".291","69.9",5.1,25.2
"Ramírez, Harold",623912,2023,28,434,125,19,12,79,22,18.2,5.1,"68","5","58",".267",".413",".349",".318","72.3",4.6,28.1
"Guerrero Jr., Vladimir",665489,2023,24,682,159,30,26,100,67,14.7,9.8,"94","5","78",".295",".509",".340",".380","75.5",11.1,23
"Gorman, Nolan",669357,2023,23,464,96,17,27,148,53,31.9,11.4,"76","7","59",".231",".498",".345",".351","74",16.5,35.6
"Vogelbach, Daniel",596129,2023,30,319,64,8,13,81,42,25.4,13.2,"48","0","33",".226",".407",".327",".325","70.9",9.3,21.6
"Gallo, Joey",608336,2023,29,332,50,9,21,142,48,42.8,14.5,"40","1","39",".149",".407",".320",".298","73.9",19.3,44.3
"Nootbaar, Lars",663457,2023,25,503,111,23,14,99,72,19.7,14.3,"46","11","74",".262",".442",".344",".357","72.2",8.8,18.5
"Rooker, Brent",667670,2023,28,526,114,20,30,172,49,32.7,9.3,"69","4","61",".233",".479",".348",".342","73.6",15.6,38.2
