"last_name, first_name","player_id","year","player_age","pa","hit","double","home_run","strikeout","walk","k_percent","bb_percent","b_rbi","r_total_stolen_base","r_run","xba","xslg","woba","xwoba","avg_swing_speed","barrel_batted_rate","whiff_percent"
"Kelly, Carson",608348,2024,29,313,67,9,9,55,25,17.6,8,"37","0","32",".233",".410",".304",".318","69.5",6.6,22.8
"Estrada, Thairo",642731,2024,28,381,79,15,9,76,10,19.9,2.6,"47","2","43",".224",".342",".256",".265","71",4.8,20.5
"Smith, Josh",669701,2024,26,592,135,30,13,121,46,20.4,7.8,"62","11","67",".242",".365",".323",".309","70.2",3.7,21.8
"McKinstry, Zach",656716,2024,29,325,64,14,4,69,24,21.2,7.4,"23","16","32",".240",".383",".270",".301","67.2",4.3,22.1
"Carroll, Corbin",682998,2024,23,684,136,22,22,130,73,19,10.7,"74","35","121",".239",".401",".325",".328","73.7",7.2,20.3
"Pillar, Kevin",607680,2024,35,314,65,16,8,69,16,22,5.1,"45","12","38",".219",".335",".293",".279","69.4",3.7,24.5
"Stephenson, Tyler",663886,2024,27,515,118,26,19,117,48,22.7,9.3,"66","1","69",".238",".413",".339",".325","70.8",9.1,22.7
"Peña, Jeremy",665161,2024,26,650,160,28,15,111,25,17.1,3.8,"70","20","78",".262",".401",".305",".314","72.6",5.4,24.9
"Harris II, Michael",671739,2024,23,470,116,14,16,94,23,20,4.9,"48","10","58",".280",".468",".312",".346","74.7",10,25.1
"Chisholm Jr., Jazz",665862,2024,26,621,144,21,24,152,53,24.5,8.5,"73","40","74",".237",".419",".327",".317","71.9",9.7,29.3
"Alvarez, Yordan",670541,2024,27,635,170,34,35,95,69,15,10.9,"86","6","88",".299",".607",".402",".415","76.5",14.5,19.9
"Toro, Abraham",647351,2024,27,364,81,17,6,62,20,17,5.5,"26","4","34",".244",".374",".283",".297","69.6",4.3,17.4
"Chourio, Jackson",694192,2024,20,573,145,29,21,121,39,21.1,6.8,"79","22","80",".267",".431",".339",".327","73.2",7.8,27.1
"Judge, Aaron",592450,2024,32,704,180,36,58,171,133,24.3,18.9,"144","10","122",".304",".739",".476",".480","77.1",26.9,30.7
"Cowser, Colton",681297,2024,24,561,121,24,24,172,52,30.7,9.3,"69","9","77",".230",".456",".331",".333","73.8",13.6,30.4
"Bogaerts, Xander",593428,2024,31,463,113,15,11,79,28,17.1,6,"44","13","50",".260",".386",".300",".308","70.7",5.1,18.3
"Margot, Manuel",622534,2024,29,343,75,17,4,54,21,15.7,6.1,"31","5","37",".258",".385",".276",".310","72",4.9,20.6
"Suárez, Eugenio",553993,2024,32,640,146,28,30,176,49,27.5,7.7,"101","2","90",".246",".463",".337",".335","72.2",11.3,29.1
"Miranda, Jose",669304,2024,26,429,114,28,9,66,18,15.4,4.2,"49","2","44",".255",".412",".328",".311","71",5.9,22.5
"Nimmo, Brandon",607043,2024,31,663,128,25,23,158,77,23.8,11.6,"90","15","88",".241",".417",".321",".338","73.3",9.1,23.4
"Witt Jr., Bobby",677951,2024,24,709,211,45,32,106,57,15,8,"109","31","125",".309",".583",".410",".407","74.7",14.3,22.3
"Rojas, Miguel",500743,2024,35,337,87,21,6,34,23,10.1,6.8,"36","8","41",".276",".360",".327",".312","67.9",2.5,13.9
"Soto, Juan",665742,2024,25,713,166,31,41,119,129,16.7,18.1,"109","7","128",".310",".655",".421",".463","75.4",19.7,21.5
"Devers, Rafael",646240,2024,27,601,143,34,28,147,67,24.5,11.1,"83","3","87",".267",".514",".364",".366","72.5",13,30.9
"Tellez, Rowdy",642133,2024,29,421,93,18,13,89,31,21.1,7.4,"56","1","38",".234",".403",".301",".305","74.4",8,21.9
"India, Jonathan",663697,2024,27,637,132,28,15,125,80,19.6,12.6,"58","13","84",".262",".418",".333",".354","71.7",7.7,19.2
"Riley, Austin",663586,2024,27,469,109,26,19,118,37,25.2,7.9,"56","0","63",".265",".523",".338",".367","75.2",14.9,27.5
"Bellinger, Cody",641355,2024,28,569,137,23,18,89,45,15.6,7.9,"78","9","72",".241",".400",".322",".305","69",6.3,22.2
"Betts, Mookie",605141,2024,31,516,130,24,19,57,61,11,11.8,"75","16","75",".282",".468",".371",".364","69",6,14.9
"Rizzo, Anthony",519203,2024,34,375,77,12,8,65,27,17.3,7.2,"35","0","38",".239",".351",".285",".302","68.5",4,19.3
"Singleton, Jon",572138,2024,32,405,83,13,13,111,47,27.4,11.6,"42","0","46",".226",".390",".312",".314","72.1",8.9,30.1
"Naylor, Bo",666310,2024,24,389,71,10,13,122,29,31.4,7.5,"39","6","39",".194",".335",".269",".263","70.6",8.1,28.3
"Keith, Colt",690993,2024,22,556,134,15,13,110,36,19.8,6.5,"61","7","54",".265",".398",".301",".314","71.3",5.6,23.2
"Larnach, Trevor",663616,2024,27,400,92,17,15,89,40,22.3,10,"52","4","59",".251",".462",".336",".343","72.8",10.1,27.9
"Friedl, TJ",670770,2024,28,341,67,5,13,52,26,15.2,7.6,"55","9","35",".227",".327",".305",".297","70.5",3.2,17.9
"Gorman, Nolan",669357,2024,24,402,74,15,19,151,34,37.6,8.5,"50","6","42",".206",".440",".290",".308","73.2",16.7,38.7
"Caballero, José",676609,2024,27,483,100,24,9,133,27,27.5,5.6,"44","44","53",".213",".317",".277",".267","69.7",5.1,28.9
"Perkins, Blake",663368,2024,27,434,92,13,6,108,42,24.9,9.7,"43","23","54",".218",".319",".288",".280","69.4",3.9,27.1
