Season,Month,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2021,"May","Tommy Hunter","NYM",1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1157
2021,"May","Ross Detwiler","MIA",1,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2859
2021,"May","Zack Greinke","HOU",6,147,3.89189189,32,6,0,16,16,4,9,0,0,30,0.233576642,0.278911564,0.364963503,0.27918788851523885,1943
2021,"May","David Price","LAD",2,16,0,3,2,0,0,0,0,0,0,0,6,0.1875,0.1875,0.3125,0.21014677360653877,3184
2021,"May","Clayton Kershaw","LAD",6,128,4.83157895,25,6,0,17,17,5,8,0,2,38,0.213675213,0.275590551,0.393162393,0.2895027089306689,2036
2021,"May","Ervin Santana","KCR",1,14,9,4,1,0,3,3,1,1,0,0,2,0.307692307,0.357142857,0.615384615,0.40699945177350727,3200
2021,"May","Adam Wainwright","STL",5,130,4.35483871,24,5,0,15,15,5,13,1,1,25,0.208695652,0.294573643,0.382608695,0.2935166503302753,2233
2021,"May","Scott Kazmir","SFG",1,13,2.25,2,0,0,1,1,1,0,0,0,2,0.153846153,0.153846153,0.384615384,0.22196722489136916,4897
2021,"May","Corey Kluber","NYY",5,119,2.27368421,17,4,0,8,8,2,10,0,0,36,0.155963302,0.226890756,0.247706422,0.2148436753689742,2429
2021,"May","Junior Guerra","LAA",1,8,27,3,2,0,3,3,0,2,0,0,2,0.5,0.625,0.833333333,0.5932226851582527,5702
2021,"May","Lance Lynn","CHW",6,135,1.36363636,17,4,0,7,5,3,13,1,1,30,0.142857142,0.233082706,0.25210084,0.21817595624562466,2520
2021,"May","David Hale","PHI",1,11,3,2,0,0,1,1,1,1,0,0,4,0.2,0.272727272,0.5,0.3252082250335,9756
2021,"May","Jhoulys Chacin","COL",1,16,4.5,4,0,0,2,2,1,1,0,0,3,0.266666666,0.3125,0.466666666,0.33346256986260414,2608
2021,"May","Jimmy Nelson","LAD",1,8,0,1,1,0,0,0,0,2,0,0,3,0.166666666,0.375,0.333333333,0.3281349539756775,10547
2021,"May","Max Scherzer","WSN",6,144,1.83050847,21,1,0,8,8,5,8,0,2,57,0.156716417,0.215277777,0.276119402,0.21831712995966276,3137
2021,"May","Aaron Sanchez","SFG",1,22,9,7,0,0,4,4,1,1,0,1,4,0.35,0.409090909,0.5,0.39520452510226856,11490
2021,"May","Danny Duffy","KCR",3,79,3.85714286,17,3,2,8,8,1,6,0,0,21,0.232876712,0.29113924,0.369863013,0.28718130422543875,3542
2021,"May","Andrew Kittredge","TBR",1,8,0,1,0,0,0,0,0,1,0,0,1,0.142857142,0.25,0.142857142,0.1963464841246605,12828
2021,"May","Jake Arrieta","CHC",4,89,4.57627119,22,4,0,14,10,4,8,0,2,13,0.282051282,0.359550561,0.487179487,0.3626632851161314,4153
2021,"May","Charlie Morton","ATL",6,125,3.76744186,28,0,1,18,12,4,11,0,3,34,0.254545454,0.338709677,0.381818181,0.3192500385545915,4676
2021,"May","Jakob Junis","KCR",1,8,13.50000003,4,3,0,3,2,1,0,0,0,1,0.5,0.5,1.25,0.7164322733879089,13619
2021,"May","Matt Shoemaker","MIN",6,137,6.16304348,33,9,0,22,21,5,13,0,1,19,0.272727272,0.345588235,0.47107438,0.350174342008198,4776
2021,"May","Michael Wacha","TBR",1,7,0,1,0,0,0,0,0,0,0,0,1,0.142857142,0.142857142,0.142857142,0.12557933160236903,14078
2021,"May","Rich Hill","TBR",6,132,0.77884615,17,2,0,3,3,2,12,0,3,36,0.145299145,0.242424242,0.213675213,0.21507913235462073,4806
2021,"May","Chad Kuhl","PIT",1,19,6.75,6,2,0,3,3,0,0,0,1,5,0.333333333,0.368421052,0.444444444,0.35376035853436116,14975
2021,"May","Jon Lester","WSN",5,103,5.91780822,28,6,0,16,16,4,8,0,0,21,0.301075268,0.352941176,0.494623655,0.36110472328522625,4930
2021,"May","Miguel Castro","NYM",2,8,0,1,0,0,0,0,0,1,0,0,2,0.142857142,0.25,0.142857142,0.1963464841246605,15684
2021,"May","Michael Pineda","MIN",3,69,3.11538462,13,2,0,6,6,4,6,0,0,20,0.209677419,0.279411764,0.43548387,0.3060743238996057,5372
2021,"May","Adam Plutko","BAL",1,7,36,4,0,0,4,4,2,1,0,0,0,0.666666666,0.714285714,1.666666666,0.9232663427080426,15846
2021,"May","Madison Bumgarner","ARI",5,113,4.66666667,21,9,0,17,14,5,8,0,2,27,0.207920792,0.276785714,0.445544554,0.3065928247358118,5524
2021,"May","John Curtiss","MIA",1,5,9,1,1,0,2,1,0,1,0,0,0,0.25,0.4,0.5,0.38667261600494385,16128
2021,"May","Trevor Cahill","PIT",4,76,6.48,20,4,0,13,12,2,6,0,1,10,0.298507462,0.36,0.447761194,0.34878172794977824,6249
2021,"May","Erik Swanson","SEA",2,16,1.92857143,2,0,0,1,1,1,1,0,0,3,0.133333333,0.1875,0.333333333,0.22358065471053123,16587
2021,"May","Jake Odorizzi","HOU",1,20,1.6875,3,0,0,1,1,0,1,0,0,4,0.157894736,0.2,0.157894736,0.1664441257715225,6397
2021,"May","Michael Kopech","CHW",1,16,2.25,2,0,0,1,1,1,2,0,0,5,0.142857142,0.25,0.357142857,0.266812939196825,17282
2021,"May","Alex Cobb","LAA",3,63,0.52941176,9,1,0,3,1,0,7,0,0,20,0.163636363,0.253968253,0.181818181,0.20819214222923157,6562
