Season,Month,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2021,"Sept/Oct","Zack Greinke","HOU",2,42,12,10,1,0,13,12,4,4,0,0,7,0.263157894,0.333333333,0.605263157,0.39118723216510953,1943
2021,"Sept/Oct","Scott Kazmir","SFG",2,26,6.23076924,7,1,0,4,3,0,5,1,0,3,0.35,0.48,0.4,0.38678519427776337,4897
2021,"Sept/Oct","Clayton Kershaw","LAD",4,66,4.69565217,18,5,0,9,8,2,2,0,0,17,0.285714285,0.307692307,0.46031746,0.32729709973702065,2036
2021,"Sept/Oct","Jesse Chavez","ATL",3,18,0,2,1,0,0,0,0,2,0,0,2,0.125,0.222222222,0.1875,0.19467416405677795,5448
2021,"Sept/Oct","Adam Wainwright","STL",6,149,3.43636364,33,3,0,15,14,4,10,0,0,19,0.239130434,0.29054054,0.347826086,0.2805649855652371,2233
2021,"Sept/Oct","Corey Kluber","NYY",5,102,4.36764706,28,6,1,11,11,2,8,0,2,21,0.311111111,0.376237623,0.466666666,0.363470726084001,2429
2021,"Sept/Oct","Collin McHugh","TBR",2,13,0,4,0,0,0,0,0,0,0,0,1,0.307692307,0.307692307,0.307692307,0.2704785603743333,7531
2021,"Sept/Oct","Lance Lynn","CHW",4,84,3.375,19,2,0,9,8,2,3,0,0,24,0.240506329,0.26506024,0.341772151,0.2621362618653171,2520
2021,"Sept/Oct","David Robertson","TBR",1,3,0,0,0,0,0,0,0,1,0,0,1,0,0.333333333,0,0.23057218392690024,8241
2021,"Sept/Oct","Max Scherzer","LAD",6,150,2.28813559,29,5,1,12,10,3,3,0,0,48,0.197278911,0.213333333,0.306122448,0.2230134868621826,3137
2021,"Sept/Oct","Noah Syndergaard","NYM",2,8,9,3,1,0,2,2,1,0,0,0,2,0.375,0.375,0.875,0.5159025564789772,11762
2021,"Sept/Oct","Jake Arrieta","SDP",3,43,10,11,3,0,11,10,2,4,0,1,6,0.305555555,0.38095238,0.555555555,0.3928835093975067,4153
2021,"Sept/Oct","Louis Head","TBR",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13259
2021,"Sept/Oct","Charlie Morton","ATL",6,135,2.59615385,21,4,1,10,10,1,9,0,3,35,0.175,0.246268656,0.25,0.22476238368162468,4676
2021,"Sept/Oct","Cam Bedrosian","PHI",1,5,0,0,0,0,0,0,0,1,0,0,2,0,0.2,0,0.13834331035614014,13360
2021,"Sept/Oct","Rich Hill","NYM",6,135,2.84210526,28,8,0,11,10,2,12,0,3,35,0.237288135,0.320895522,0.355932203,0.3002656809429624,4806
2021,"Sept/Oct","Pierce Johnson","SDP",1,5,0,1,0,0,0,0,0,0,0,1,2,0.25,0.4,0.25,0.3201975584030151,13435
2021,"Sept/Oct","Jon Lester","STL",6,146,3.66990291,32,5,0,16,14,8,13,1,0,23,0.246153846,0.314685314,0.469230769,0.33283824777938953,4930
2021,"Sept/Oct","Blake Snell","SDP",2,26,2.34782609,1,0,0,2,2,0,2,0,0,11,0.04347826,0.12,0.04347826,0.09049953699111939,13543
2021,"Sept/Oct","Michael Pineda","MIN",4,91,2.109375,24,6,0,7,5,2,3,0,2,12,0.279069767,0.318681318,0.418604651,0.3191957814352853,5372
2021,"Sept/Oct","Dominic Leone","SFG",4,19,3.375,3,1,0,2,2,0,0,0,0,4,0.157894736,0.157894736,0.210526315,0.1578819563514308,13763
2021,"Sept/Oct","Madison Bumgarner","ARI",5,122,5.89655172,27,4,0,19,19,8,9,0,1,23,0.243243243,0.303278688,0.495495495,0.3373110343198307,5524
