Season,Month,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2021,"Jul","Matt Moore","PHI",5,106,7.14705882,27,7,0,18,18,6,10,1,2,21,0.29032258,0.371428571,0.559139784,0.3914108241979892,1890
2021,"Jul","Hector Santiago","SEA",1,12,3,2,1,0,1,1,1,1,0,0,1,0.181818181,0.25,0.545454545,0.32832347353299457,4026
2021,"Jul","Zack Greinke","HOU",5,114,3.66666667,26,3,0,13,11,9,7,0,1,23,0.247619047,0.300884955,0.533333333,0.35092327288821734,1943
2021,"Jul","Collin McHugh","TBR",1,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7531
2021,"Jul","Clayton Kershaw","LAD",1,15,6.75,3,0,0,3,3,1,1,0,0,3,0.214285714,0.266666666,0.428571428,0.2970897197723389,2036
2021,"Jul","Anthony Bass","MIA",1,4,9,1,0,0,1,1,1,0,0,0,2,0.25,0.25,1,0.501629650592804,7982
2021,"Jul","Adam Wainwright","STL",5,133,3.27272727,28,6,1,12,12,4,8,1,1,27,0.227642276,0.28030303,0.390243902,0.28665512117720743,2233
2021,"Jul","Brandon Kintzler","PHI",1,4,9,1,0,0,1,1,1,0,0,0,0,0.25,0.25,1,0.501629650592804,9939
2021,"Jul","Lance Lynn","CHW",5,126,2.1,26,3,1,7,7,2,10,1,1,32,0.228070175,0.293650793,0.324561403,0.2706755452156067,2520
2021,"Jul","Aaron Loup","NYM",2,10,0,2,0,0,0,0,0,0,0,0,3,0.2,0.2,0.2,0.17581106424331666,10343
2021,"Jul","Ross Detwiler","MIA",3,31,25.07142855,14,2,1,13,13,7,2,0,1,5,0.5,0.548387096,1.392857142,0.7651125365687955,2859
2021,"Jul","Asher Wojciechowski","NYY",1,19,4.5,3,2,0,2,2,1,3,0,1,4,0.2,0.368421052,0.533333333,0.3835207255263078,10836
2021,"Jul","Max Scherzer","WSN",4,92,5.16176471,16,3,0,13,13,6,8,0,3,28,0.197530864,0.29347826,0.456790123,0.32192356819691864,3137
2021,"Jul","Corey Oswalt","NYM",1,16,6.75,4,1,0,3,3,1,1,0,0,4,0.266666666,0.3125,0.533333333,0.35612452030181885,13677
2021,"Jul","David Price","LAD",4,73,3.70588235,14,3,0,8,7,2,6,0,1,13,0.21875,0.295774647,0.359375,0.28903811918178074,3184
2021,"Jul","Keynan Middleton","SEA",1,9,45,5,1,0,5,5,0,1,0,0,1,0.625,0.666666666,0.75,0.6055093738767836,15264
2021,"Jul","Danny Duffy","KCR",3,55,2.76923077,12,3,0,4,4,1,6,1,0,10,0.244897959,0.327272727,0.367346938,0.30041636140258227,3542
2021,"Jul","John Curtiss","MIA",1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16128
2021,"Jul","Jake Arrieta","CHC",2,33,14.29411764,13,3,0,9,9,2,3,0,1,7,0.464285714,0.53125,0.785714285,0.5489844214171171,4153
2021,"Jul","Jake Reed","LAD",1,4,9,1,0,0,1,1,1,0,0,0,0,0.25,0.25,1,0.501629650592804,16209
2021,"Jul","Charlie Morton","ATL",5,123,3.68181818,22,5,1,12,12,3,13,0,1,35,0.209523809,0.3,0.361904761,0.29114778141180675,4676
2021,"Jul","Reynaldo Lopez","CHW",1,11,3,2,0,0,2,1,1,1,0,0,3,0.222222222,0.272727272,0.555555555,0.3252082250335,16400
2021,"Jul","Rich Hill","2 Tms",5,100,5.55882353,23,8,0,14,14,3,9,0,5,16,0.270588235,0.37,0.470588235,0.3633650320768356,4806
2021,"Jul","Jon Lester","WSN",4,87,4,24,6,0,16,8,3,7,1,1,12,0.315789473,0.372093023,0.513157894,0.37091172442716713,4930
2021,"Jul","Justus Sheffield","SEA",1,14,32.39999994,5,0,0,6,6,1,3,0,1,2,0.5,0.642857142,0.8,0.5942730009555817,17285
2021,"Jul","Wade LeBlanc","STL",5,108,3.08571429,27,5,0,8,8,2,10,1,2,15,0.287234042,0.367924528,0.404255319,0.33782562074207123,5221
2021,"Jul","Garrett Cleavinger","LAD",1,5,0,1,1,0,0,0,0,1,0,0,1,0.25,0.4,0.5,0.38667261600494385,17897
2021,"Jul","Michael Pineda","MIN",3,67,4.40816327,21,9,1,8,8,2,1,0,0,13,0.323076923,0.333333333,0.584615384,0.38422801368164294,5372
