Season,Month,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2023,"Jul","Zack Greinke","KCR",3,60,7.53488372,15,2,0,12,12,5,2,0,1,5,0.263157894,0.3,0.561403508,0.36143510043621063,1943
2023,"Jul","Tommy Milone","SEA",1,21,2.07692308,4,0,0,2,1,0,4,0,0,0,0.25,0.38095238,0.25,0.3006550811585926,7608
2023,"Jul","Adam Wainwright","STL",3,66,6.27906977,18,2,0,13,10,4,7,0,1,9,0.315789473,0.393939393,0.561403508,0.40441923611091846,2233
2023,"Jul","Brett Kennedy","CIN",1,22,7.2,5,3,0,4,4,0,2,0,0,3,0.263157894,0.318181818,0.421052631,0.3130984306335449,17877
2023,"Jul","Lance Lynn","CHW",4,103,6.46478873,22,1,1,20,17,6,9,0,3,28,0.241758241,0.330097087,0.472527472,0.34595974209239183,2520
2023,"Jul","Jaime Barria","LAA",1,19,7.2,5,1,0,4,4,1,0,0,0,5,0.263157894,0.263157894,0.47368421,0.3102877516495554,18356
2023,"Jul","Max Scherzer","NYM",5,127,4.35483871,24,3,0,15,15,10,12,0,0,36,0.208695652,0.283464566,0.495652173,0.3293778051541546,3137
2023,"Jul","Ian Hamilton","NYY",1,6,9,3,0,0,1,1,1,0,0,0,2,0.5,0.5,1,0.6281947692235311,19261
2023,"Jul","Charlie Morton","ATL",6,142,3.14563107,29,6,0,12,12,4,15,1,2,28,0.232,0.323943661,0.376,0.3080978604918676,4676
2023,"Jul","Adrian Morejon","SDP",1,12,0,2,1,0,0,0,0,2,0,0,1,0.2,0.333333333,0.3,0.2931753695011139,20039
2023,"Jul","Rich Hill","PIT",6,143,5.7,37,9,0,19,19,4,14,0,2,24,0.293650793,0.373239436,0.46031746,0.36328004867258207,4806
2023,"Jul","Garrett Whitlock","BOS",1,4,9,1,0,0,1,1,1,0,0,0,1,0.25,0.25,1,0.5010240077972412,20191
2023,"Jul","Alex Cobb","SFG",4,94,2.41791045,22,8,0,6,6,2,7,0,1,21,0.258823529,0.322580645,0.423529411,0.3241510942418088,6562
2023,"Jul","Kyle Nelson","ARI",1,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,20515
2023,"Jul","Carlos Carrasco","NYM",4,83,7.78846154,27,7,0,17,15,1,6,0,1,13,0.36,0.409638554,0.493333333,0.3901210183120636,6632
2023,"Jul","Keaton Winn","SFG",1,20,6.75,6,2,0,3,3,1,1,0,1,2,0.352941176,0.421052631,0.647058823,0.45058618721209076,23499
2023,"Jul","Julio Teheran","MIL",4,98,8.30769231,30,7,1,20,20,5,3,0,1,19,0.326086956,0.350515463,0.586956521,0.39291250705718994,6797
2023,"Jul","Austin Cox","KCR",1,21,5.78571428,7,1,0,3,3,0,2,0,0,4,0.411764705,0.428571428,0.470588235,0.37765647116161527,24604
2023,"Jul","Johnny Cueto","MIA",2,44,3.75,6,2,0,5,5,2,2,0,1,13,0.146341463,0.204545454,0.341463414,0.23587727682156998,6893
2023,"Jul","Alex Vesia","LAD",1,4,0,1,0,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.2206340730190277,25007
2023,"Jul","Chase Anderson","COL",3,64,4.8,17,1,1,8,8,3,4,0,1,10,0.293103448,0.34375,0.5,0.3582026297226548,6895
2023,"Jul","Sam Long","OAK",1,7,27,3,0,0,3,3,0,1,0,0,2,0.5,0.571428571,0.5,0.4776445371764047,25379
2023,"Jul","Martin Perez","TEX",4,88,8.5,26,3,0,17,17,5,11,0,0,9,0.337662337,0.420454545,0.571428571,0.4237767302177169,6902
2023,"Jul","Brendan White","DET",1,6,0,1,0,0,0,0,0,1,0,0,1,0.2,0.333333333,0.2,0.2630731960137685,26024
2023,"Jul","Jordan Lyles","KCR",4,86,3.85714286,22,4,0,9,9,3,4,0,1,16,0.271604938,0.313953488,0.432098765,0.3224999828394069,7593
2023,"Jul","Bryan Hoeing","MIA",1,17,15,5,3,0,5,5,1,3,0,0,3,0.357142857,0.470588235,0.785714285,0.5120957704151378,26304
2023,"Jul","Justin Verlander","NYM",6,148,1.6875,22,4,0,9,7,1,16,0,0,32,0.166666666,0.256756756,0.219696969,0.2237615448397559,8700
2023,"Jul","Carmen Mlodzinski","PIT",1,6,0,0,0,0,1,0,0,2,0,0,1,0,0.333333333,0,0.23196762800216675,27572
2023,"Jul","Wade Miley","MIL",2,49,3.27272727,13,4,1,4,4,1,5,0,0,12,0.302325581,0.367346938,0.511627906,0.3715363217859852,8779
