Season,Month,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2024,"Mar/Apr","Lance Lynn","STL",6,136,2.64130435,30,5,0,12,9,5,13,0,1,29,0.247933884,0.323529411,0.41322314,0.322304351364865,2520
2024,"Mar/Apr","Ryan Brasier","LAD",1,4,0,0,0,0,0,0,0,1,0,0,1,0,0.25,0,0.17228268086910248,5615
2024,"Mar/Apr","Charlie Morton","ATL",5,120,3.6,23,6,0,12,12,2,11,0,2,28,0.214953271,0.3,0.327102803,0.2822698473930359,4676
2024,"Mar/Apr","Justin Steele","CHC",1,18,1.92857143,3,2,0,1,1,0,1,0,0,6,0.2,0.235294117,0.333333333,0.23998433702132282,17312
2024,"Mar/Apr","Albert Suarez","BAL",3,63,2.34782609,14,4,0,4,4,1,3,0,1,15,0.24137931,0.29032258,0.362068965,0.28694155235444346,6175
2024,"Mar/Apr","Daulton Jefferies","SFG",1,16,22.5,9,3,0,9,5,2,0,0,0,1,0.5625,0.5625,1.125,0.7118377164006233,19345
2024,"Mar/Apr","Carlos Carrasco","CLE",6,126,6.58536585,31,5,3,20,20,5,15,0,3,23,0.287037037,0.388888888,0.527777777,0.3941138083972628,6632
2024,"Mar/Apr","Julio Teheran","NYM",1,16,13.49999998,6,1,0,4,4,1,2,0,0,3,0.428571428,0.5,0.714285714,0.513072595000267,6797
2024,"Mar/Apr","Chase Anderson","BOS",1,12,26.99999995,3,0,0,5,5,2,3,0,1,0,0.375,0.583333333,1.125,0.6473764230807623,6895
2024,"Mar/Apr","Martin Perez","PIT",6,148,2.85576923,34,9,0,12,11,1,13,0,2,27,0.257575757,0.333333333,0.348484848,0.30544059090062875,6902
2024,"Mar/Apr","Justin Verlander","HOU",2,41,1.74193548,7,2,0,2,2,1,4,0,0,11,0.189189189,0.268292682,0.324324324,0.26443583209340166,8700
2024,"Mar/Apr","Wade Miley","MIL",2,30,6.42857143,6,0,0,5,5,1,4,0,1,2,0.25,0.379310344,0.375,0.34258205315162393,8779
2024,"Mar/Apr","Nathan Eovaldi","TEX",6,148,3,27,7,1,12,12,3,17,0,3,36,0.214285714,0.317567567,0.357142857,0.30069617564613754,9132
2024,"Mar/Apr","Patrick Corbin","WSN",6,148,6.82105263,47,10,3,27,24,4,13,1,0,22,0.353383458,0.405405405,0.563909774,0.4097518353235154,9323
2024,"Mar/Apr","Miles Mikolas","STL",6,139,5.90625,40,13,0,21,21,6,7,0,1,25,0.310077519,0.345323741,0.550387596,0.3788884779532179,9803
2024,"Mar/Apr","Kyle Gibson","STL",6,152,3.78947368,29,5,1,16,16,6,14,0,1,29,0.214814814,0.289473684,0.4,0.29945335184272964,10123
2024,"Mar/Apr","Zack Wheeler","PHI",6,148,1.92857143,22,5,0,11,8,2,11,0,2,46,0.164179104,0.236486486,0.246268656,0.22039145633981033,10310
2024,"Mar/Apr","Chris Sale","ATL",5,123,3.69473684,22,2,0,13,13,4,7,0,1,33,0.192982456,0.245901639,0.315789473,0.24884274650792607,10603
2024,"Mar/Apr","Merrill Kelly","ARI",4,92,2.18918919,17,2,0,6,6,3,6,0,0,21,0.2,0.252747252,0.329411764,0.25684657594659827,11156
2024,"Mar/Apr","Jose Quintana","NYM",6,144,3.47524752,30,7,1,13,13,3,15,0,0,23,0.236220472,0.314685314,0.377952755,0.3049603400530515,11423
2024,"Mar/Apr","Jameson Taillon","CHC",3,71,1.5,14,2,0,4,3,2,3,0,0,9,0.208955223,0.242857142,0.328358208,0.24989448189735414,11674
2024,"Mar/Apr","James Paxton","LAD",5,114,3.50649351,21,4,0,10,10,2,22,0,0,15,0.233333333,0.377192982,0.344444444,0.32897845015191196,11828
2024,"Mar/Apr","Taijuan Walker","PHI",1,27,8.52631579,8,2,0,6,6,2,2,0,0,4,0.32,0.37037037,0.64,0.42641550964779323,11836
2024,"Mar/Apr","Kyle Hendricks","CHC",5,106,12,37,5,1,28,28,8,7,0,1,16,0.37755102,0.424528301,0.693877551,0.47247623441354286,12049
2024,"Mar/Apr","Chris Bassitt","TOR",6,140,5.63736264,39,1,0,22,19,6,17,0,1,30,0.319672131,0.407142857,0.475409836,0.3871590690953391,12304
2024,"Mar/Apr","Colin Rea","MIL",5,119,3.25301205,26,3,0,11,10,5,9,0,1,18,0.23853211,0.302521008,0.403669724,0.30928197628309745,12317
2024,"Mar/Apr","Seth Lugo","KCR",6,151,1.65789474,33,7,2,7,7,2,9,0,1,23,0.235714285,0.284768211,0.357142857,0.2806633466126903,12447
2024,"Mar/Apr","Adrian Houser","NYM",5,114,8.36619718,29,9,0,22,22,1,16,0,2,14,0.302083333,0.412280701,0.427083333,0.3733211008080265,12718
2024,"Mar/Apr","Nick Martinez","CIN",4,100,6.85714286,31,6,1,18,16,2,3,0,2,15,0.336956521,0.367346938,0.489130434,0.3685838659198917,12730
2024,"Mar/Apr","Sonny Gray","STL",4,89,1.15714286,18,2,0,6,3,1,4,0,0,32,0.214285714,0.25,0.273809523,0.23341689665209164,12768
2024,"Mar/Apr","Shawn Armstrong","TBR",3,19,6.75,6,0,0,4,3,0,2,0,0,8,0.352941176,0.421052631,0.352941176,0.35097503662109375,12857
2024,"Mar/Apr","Tyler Anderson","LAA",6,146,2.2293578,24,4,0,10,9,5,15,0,1,27,0.184615384,0.273972602,0.33076923,0.2708811886506538,12880
2024,"Mar/Apr","Joe Musgrove","SDP",7,158,6.94285714,45,6,0,27,27,9,13,0,6,27,0.326086956,0.405063291,0.565217391,0.4158503130266938,12970
2024,"Mar/Apr","Joe Ross","MIL",5,119,5.4,30,3,0,19,15,2,12,0,1,23,0.285714285,0.364406779,0.371428571,0.32961939856157463,12972
2024,"Mar/Apr","Yu Darvish","SDP",6,119,3.45348837,23,7,0,12,11,2,10,0,1,25,0.219047619,0.288135593,0.342857142,0.2782694439766771,13074
2024,"Mar/Apr","Ross Stripling","OAK",6,148,4.98058252,43,13,0,20,19,3,8,1,0,25,0.311594202,0.346938775,0.471014492,0.3499091602351567,13273
2024,"Mar/Apr","Steven Matz","STL",6,127,6.18072289,37,8,0,22,19,3,11,0,2,17,0.327433628,0.393700787,0.477876106,0.37897403831557025,13361
2024,"Mar/Apr","Marcus Stroman","NYY",6,138,3.69473684,30,7,1,16,13,5,15,0,2,32,0.247933884,0.34057971,0.446280991,0.34337328568748804,13431
2024,"Mar/Apr","Blake Snell","SFG",3,58,11.57142857,18,5,0,15,15,2,5,0,0,12,0.339622641,0.396551724,0.547169811,0.4054469712849321,13543
2024,"Mar/Apr","Jakob Junis","MIL",1,16,2.25,3,0,0,1,1,0,1,0,0,4,0.214285714,0.25,0.214285714,0.20839142799377441,13619
2024,"Mar/Apr","Max Fried","ATL",6,129,4.0212766,26,2,0,15,14,2,11,0,1,25,0.222222222,0.294573643,0.29059829,0.26594093049219414,13743
2024,"Mar/Apr","Zach Eflin","TBR",6,148,4.0754717,38,7,1,17,16,5,4,0,1,30,0.267605633,0.29054054,0.436619718,0.3117470886256244,13774
2024,"Mar/Apr","Alex Wood","OAK",7,153,6.31914894,45,13,0,22,22,5,17,1,5,29,0.348837209,0.440789473,0.565891472,0.4303913653291614,13781
2024,"Mar/Apr","Chris Flexen","CHW",4,83,6.38181818,21,6,0,13,13,3,9,0,0,9,0.287671232,0.361445783,0.493150684,0.36696644791637556,13896
2024,"Mar/Apr","Michael Wacha","KCR",6,143,4.23529412,36,8,0,16,16,4,9,0,2,28,0.279069767,0.333333333,0.434108527,0.33360022052805477,14078
2024,"Mar/Apr","Kevin Gausman","TOR",6,123,4.5,32,12,0,18,14,4,6,0,1,23,0.280701754,0.319672131,0.49122807,0.3460175888460191,14107
2024,"Mar/Apr","Jose Berrios","TOR",7,169,1.44274809,31,3,1,7,7,4,13,0,3,31,0.203947368,0.279761904,0.315789473,0.26756138425497783,14168
2024,"Mar/Apr","Frankie Montas","CIN",5,84,4.18965517,18,3,0,11,9,3,10,0,0,14,0.243243243,0.333333333,0.405405405,0.3260000887371245,14309
2024,"Mar/Apr","Ty Blach","COL",1,21,7.2,5,1,0,4,4,0,2,0,0,0,0.277777777,0.333333333,0.333333333,0.29331192516145255,14361
2024,"Mar/Apr","Tyler Glasnow","LAD",7,168,2.72093023,28,9,0,13,13,4,12,0,0,53,0.180645161,0.239520958,0.316129032,0.24541131143798373,14374
2024,"Mar/Apr","Paul Blackburn","OAK",6,140,3.34285714,29,7,0,13,13,4,9,0,0,28,0.221374045,0.271428571,0.366412213,0.2789466904742377,14739
2024,"Mar/Apr","Michael Lorenzen","TEX",3,69,4.23529412,12,0,0,8,8,2,9,0,2,14,0.210526315,0.333333333,0.315789473,0.2979549247285594,14843
2024,"Mar/Apr","Jon Gray","TEX",6,132,2.61290323,28,5,2,12,9,2,11,0,0,31,0.231404958,0.295454545,0.3553719,0.2870015935464339,14916
2024,"Mar/Apr","Ben Lively","CLE",3,60,2.29787234,12,3,0,4,4,2,3,0,0,19,0.210526315,0.25,0.368421052,0.26836546262105304,14932
2024,"Mar/Apr","Andrew Heaney","TEX",5,102,6.26086957,20,2,0,18,16,5,9,0,3,22,0.222222222,0.31372549,0.411111111,0.31943077959266364,15423
2024,"Mar/Apr","Nick Pivetta","BOS",2,41,0.81818182,8,1,0,1,1,1,1,0,0,13,0.2,0.219512195,0.3,0.22642566372708575,15454
2024,"Mar/Apr","Marco Gonzales","PIT",3,69,2.64705882,15,4,0,5,5,1,5,0,0,11,0.234375,0.289855072,0.34375,0.2801471939985303,15467
2024,"Mar/Apr","Luis Castillo","SEA",7,171,3.456,41,12,0,17,16,5,8,1,0,49,0.251533742,0.286549707,0.417177914,0.3016845959074357,15689
2024,"Mar/Apr","Zack Littell","TBR",6,141,3.27272727,40,7,0,13,12,3,5,0,0,35,0.296296296,0.321428571,0.414814814,0.32019236556121283,15823
2024,"Mar/Apr","Sean Manaea","NYM",6,128,3.06818182,24,1,0,12,10,1,18,0,2,30,0.226415094,0.34375,0.264150943,0.2855189833790064,15873
2024,"Mar/Apr","Luis Severino","NYM",6,143,2.31428571,26,2,1,14,9,2,11,0,2,31,0.201550387,0.274647887,0.279069767,0.2516533052417594,15890
2024,"Mar/Apr","Carlos Rodon","NYY",6,136,2.47959184,25,7,0,9,9,3,14,0,2,30,0.210084033,0.301470588,0.344537815,0.28855758160352707,16137
2024,"Mar/Apr","Aaron Nola","PHI",6,157,3.20338983,31,6,0,15,14,7,11,0,0,36,0.212328767,0.267515923,0.397260273,0.2886954473841722,16149
2024,"Mar/Apr","Spencer Turnbull","PHI",6,127,1.67010309,17,4,0,7,6,3,10,0,2,36,0.147826086,0.228346456,0.260869565,0.2229560332035455,16207
2024,"Mar/Apr","Kyle Freeland","COL",4,87,13.21276595,32,4,1,25,23,3,8,0,1,9,0.415584415,0.471264367,0.61038961,0.46150368589094315,16256
2024,"Mar/Apr","Reynaldo Lopez","ATL",5,115,1.5,20,5,0,5,5,2,10,0,0,31,0.19047619,0.260869565,0.295238095,0.24978260320165882,16400
