Season,Month,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2022,"Mar/Apr","Matt Bush","TEX",1,4,9,1,0,0,1,1,1,0,0,0,3,0.25,0.25,1,0.5180003643035889,1246
2022,"Mar/Apr","Matt Wisler","TBR",2,14,0,2,0,0,0,0,0,1,0,0,2,0.153846153,0.214285714,0.153846153,0.17546039819717407,12804
2022,"Mar/Apr","Zack Greinke","KCR",4,87,2.86363636,21,3,0,7,7,1,3,0,2,6,0.265822784,0.298850574,0.341772151,0.28032820252166396,1943
2022,"Mar/Apr","Luis Cessa","CIN",1,7,27,5,0,0,3,3,0,0,0,0,0,0.714285714,0.714285714,0.714285714,0.6313220092228481,13345
2022,"Mar/Apr","Clayton Kershaw","LAD",4,85,2.34782609,14,3,0,6,6,2,2,0,1,30,0.170731707,0.2,0.280487804,0.21153872784446268,2036
2022,"Mar/Apr","Caleb Smith","ARI",1,9,36,2,0,0,5,4,2,3,0,0,2,0.333333333,0.555555555,1.333333333,0.6900260845820109,14875
2022,"Mar/Apr","Adam Wainwright","STL",5,116,4,30,6,1,12,12,2,12,0,0,26,0.291262135,0.362068965,0.427184466,0.34603448263530073,2233
2022,"Mar/Apr","J.P. Feyereisen","TBR",2,12,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,16610
2022,"Mar/Apr","Corey Kluber","TBR",4,83,3.0483871,19,2,0,7,7,2,5,0,1,18,0.246753246,0.301204819,0.35064935,0.2902247180421668,2429
2022,"Mar/Apr","Jimmy Herget","LAA",1,10,3,1,1,0,1,1,0,0,0,0,2,0.1,0.1,0.2,0.1261476993560791,17556
2022,"Mar/Apr","Max Scherzer","NYM",4,94,1.8,11,1,0,5,5,1,8,0,1,33,0.13095238,0.212765957,0.178571428,0.18636489485172517,3137
2022,"Mar/Apr","Cristian Javier","HOU",1,20,3.6,4,0,0,2,2,1,2,0,0,4,0.222222222,0.3,0.388888888,0.3050520896911621,17606
