Season,Month,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2022,"Aug","Zack Greinke","KCR",4,94,3,30,5,0,9,7,2,3,0,0,14,0.333333333,0.354838709,0.455555555,0.3531848217851372,1943
2022,"Aug","Chase Anderson","CIN",1,9,33.75000008,4,1,0,5,5,1,1,0,0,2,0.5,0.555555555,1,0.6433248917261759,6895
2022,"Aug","Clayton Kershaw","LAD",1,15,2.25,3,0,0,2,1,1,1,0,0,4,0.214285714,0.266666666,0.428571428,0.3018964687983195,2036
2022,"Aug","Shawn Armstrong","TBR",1,10,0,3,0,0,0,0,0,0,0,0,1,0.3,0.3,0.3,0.2651552438735962,12857
2022,"Aug","Adam Wainwright","STL",6,161,2.49579832,33,3,1,11,11,1,9,1,2,31,0.22147651,0.273291925,0.275167785,0.24472483098506928,2233
2022,"Aug","JT Chargois","TBR",1,4,0,1,1,0,0,0,0,0,0,0,1,0.25,0.25,0.5,0.31536924839019775,13767
2022,"Aug","Corey Kluber","TBR",5,125,4.85393258,34,7,0,16,16,7,2,0,1,24,0.283333333,0.296,0.516666666,0.34487252855300904,2429
2022,"Aug","Jon Gray","TEX",1,11,20.25000005,4,0,0,4,3,1,1,0,1,3,0.444444444,0.545454545,0.777777777,0.5575009638612921,14916
2022,"Aug","Lance Lynn","CHW",6,142,2.45454545,28,2,0,11,10,6,3,0,3,42,0.205882352,0.239436619,0.352941176,0.2595693599170362,2520
2022,"Aug","Jimmy Yacabonis","TBR",1,5,0,1,1,0,1,0,0,1,0,0,0,0.25,0.4,0.5,0.39004418849945066,15157
2022,"Aug","Max Scherzer","NYM",6,164,2.6557377,33,6,0,13,12,2,7,0,4,44,0.22147651,0.26993865,0.302013422,0.2546699010521356,3137
2022,"Aug","Ryan Yarbrough","TBR",1,19,0,3,2,0,2,0,0,1,0,1,5,0.176470588,0.263157894,0.294117647,0.2534611319240771,16502
2022,"Aug","Anibal Sanchez","WSN",6,129,3.81521739,24,4,0,14,13,7,15,1,3,19,0.218181818,0.328125,0.445454545,0.33734671102734065,3284
2022,"Aug","Sean Newcomb","CHC",1,13,6,5,1,0,2,2,1,0,0,0,1,0.384615384,0.384615384,0.692307692,0.4603869915008545,16943
2022,"Aug","Charlie Morton","ATL",5,122,3.26373626,22,4,0,11,11,5,8,0,3,42,0.198198198,0.270491803,0.369369369,0.2833325056756129,4676
2022,"Aug","Jalen Beeks","TBR",2,15,3,5,3,0,1,1,0,1,0,1,4,0.384615384,0.466666666,0.615384615,0.46407262086868284,17192
2022,"Aug","Rich Hill","BOS",4,77,4.73684211,19,3,2,10,10,3,2,0,0,16,0.256756756,0.272727272,0.472972972,0.31562290253577296,4806
2022,"Aug","Josh Sborz","TEX",1,4,0,1,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.22096270322799683,18323
2022,"Aug","Madison Bumgarner","ARI",5,128,9.2278481,44,13,1,28,27,5,7,0,2,21,0.372881355,0.4140625,0.627118644,0.4431129088625312,5524
2022,"Aug","Jaime Barria","LAA",1,21,3.85714285,3,0,0,2,2,1,4,0,0,3,0.1875,0.35,0.375,0.32973394393920896,18356
2022,"Aug","Chris Archer","MIN",6,111,5.7375,26,11,0,17,17,1,8,0,0,27,0.257425742,0.306306306,0.396039603,0.304793796023807,6345
2022,"Aug","Bryan Garcia","DET",2,41,2.7,6,0,0,3,3,2,6,0,2,8,0.181818181,0.341463414,0.363636363,0.32322671646025125,19457
2022,"Aug","Jake Odorizzi","ATL",5,111,4.2631579,30,3,0,13,12,6,7,0,1,19,0.291262135,0.342342342,0.495145631,0.3632317765339001,6397
2022,"Aug","Jason Alexander","MIL",1,18,1.8,3,0,0,1,1,0,1,0,1,6,0.1875,0.277777777,0.1875,0.2255838414033254,19666
2022,"Aug","Alex Cobb","SFG",5,121,3.10344828,29,3,0,10,10,2,10,0,0,30,0.263636363,0.325,0.345454545,0.30023577411969504,6562
2022,"Aug","Nick Nelson","PHI",1,10,9,2,0,0,2,2,0,2,0,1,3,0.285714285,0.5,0.285714285,0.38654022812843325,20153
2022,"Aug","Carlos Carrasco","NYM",3,63,4.90909091,15,2,0,8,8,4,3,0,1,16,0.254237288,0.301587301,0.491525423,0.34209621804101126,6632
2022,"Aug","Cristopher Sanchez","PHI",1,24,4.5,6,1,0,3,3,2,0,0,0,7,0.25,0.25,0.541666666,0.335709681113561,20778
2022,"Aug","Johnny Cueto","CHW",5,145,3.28037383,37,8,0,15,13,2,5,0,2,17,0.274074074,0.303448275,0.377777777,0.29644093842341984,6893
2022,"Aug","Reiss Knehr","SDP",1,19,4.9090909,4,2,0,2,2,0,2,0,2,1,0.266666666,0.421052631,0.4,0.3741352118943867,21541
2022,"Aug","Martin Perez","TEX",6,153,4.23529412,33,7,0,18,16,4,19,0,1,37,0.253846153,0.350993377,0.4,0.3335722546703768,6902
2022,"Aug","Max Castillo","KCR",1,19,1.8,3,0,0,1,1,1,1,0,0,3,0.166666666,0.210526315,0.333333333,0.2383393174723575,21956
2022,"Aug","Jordan Lyles","BAL",6,147,3.17647059,42,9,0,13,12,4,8,0,0,26,0.302158273,0.340136054,0.45323741,0.34546206759757736,7593
2022,"Aug","Hunter Greene","CIN",1,21,0,1,0,0,0,0,0,0,0,2,8,0.052631578,0.142857142,0.052631578,0.110679825146993,22182
2022,"Aug","Paolo Espino","WSN",5,109,5.91780822,30,4,0,16,16,4,6,0,1,19,0.294117647,0.339449541,0.450980392,0.3452413590676194,8246
2022,"Aug","DL Hall","BAL",1,19,12.27272726,5,2,0,5,5,0,3,0,0,6,0.333333333,0.421052631,0.466666666,0.3810914880351016,22207
2022,"Aug","Justin Verlander","HOU",5,105,1.92857143,18,1,1,6,6,0,4,0,0,32,0.181818181,0.209523809,0.212121212,0.18818482330867223,8700
2022,"Aug","Luis Patino","TBR",1,23,0,4,0,0,0,0,0,2,0,0,4,0.19047619,0.260869565,0.19047619,0.2136039630226467,22815
2022,"Aug","Nathan Eovaldi","BOS",3,77,2.94545455,20,3,0,8,6,3,4,0,0,16,0.277777777,0.311688311,0.444444444,0.3263548380368716,9132
2022,"Aug","Michael Grove","LAD",1,21,3.85714285,5,1,1,2,2,0,1,0,0,4,0.25,0.285714285,0.4,0.29538638251168386,23221
2022,"Aug","Patrick Corbin","WSN",5,104,6.85074627,31,3,1,18,17,6,8,0,2,15,0.329787234,0.394230769,0.574468085,0.416625236089413,9323
2022,"Aug","Jose Butto","NYM",1,23,15.75,9,1,0,7,7,2,2,0,0,5,0.428571428,0.478260869,0.761904761,0.525481421014537,23313
2022,"Aug","Dallas Keuchel","TEX",1,27,11.81250001,11,3,0,7,7,1,1,0,0,1,0.458333333,0.444444444,0.708333333,0.4715604473043371,9434
2022,"Aug","Bryce Elder","ATL",1,27,1.28571429,3,1,0,1,1,0,3,0,0,10,0.125,0.222222222,0.166666666,0.18871890615533898,27779
2022,"Aug","Miles Mikolas","STL",6,151,5.75,40,7,0,25,23,7,4,0,1,24,0.275862068,0.298013245,0.468965517,0.3297328400296091,9803
2022,"Aug","Mike Minor","CIN",6,147,5.45454545,39,9,0,20,20,5,9,1,2,22,0.286764705,0.340136054,0.463235294,0.34767087436702154,10021
2022,"Aug","Kyle Gibson","PHI",5,128,2.29787234,28,5,1,11,8,2,7,0,2,30,0.237288135,0.2890625,0.347457627,0.2811826402321458,10123
2022,"Aug","Zack Wheeler","PHI",4,102,4.43835616,24,5,1,12,12,3,8,0,0,26,0.255319148,0.31372549,0.425531914,0.3224749389816733,10310
2022,"Aug","Drew Hutchison","DET",5,116,3.0375,31,5,1,11,9,3,9,0,0,16,0.289719626,0.344827586,0.439252336,0.3428288225469918,10732
2022,"Aug","Jacob deGrom","NYM",6,128,1.98165138,17,3,0,8,8,3,3,0,0,55,0.136,0.15625,0.232,0.17022676672786474,10954
2022,"Aug","Merrill Kelly","ARI",5,129,3.34020619,27,6,0,12,12,3,10,0,1,31,0.228813559,0.294573643,0.355932203,0.2891614977703538,11156
2022,"Aug","Jose Quintana","STL",6,126,3.375,33,3,1,15,11,1,12,0,0,20,0.294642857,0.36,0.366071428,0.3237641859054565,11423
2022,"Aug","Robbie Ray","SEA",5,124,1.63636364,19,2,2,6,6,3,11,0,0,41,0.168141592,0.241935483,0.300884955,0.24293574883091834,11486
2022,"Aug","Aaron Sanchez","MIN",3,60,4.26315789,16,5,0,6,6,0,4,0,3,14,0.301886792,0.383333333,0.396226415,0.34908929963906604,11490
2022,"Aug","Jose Urena","COL",6,133,7.13793103,35,7,1,23,23,6,15,0,0,18,0.301724137,0.375939849,0.534482758,0.3891407116911465,11589
2022,"Aug","Jameson Taillon","NYY",6,127,4.83157895,25,4,0,18,17,8,7,0,0,25,0.210084033,0.251968503,0.445378151,0.298686518443851,11674
2022,"Aug","Drew Smyly","CHC",5,117,0.9,22,5,0,3,3,1,6,0,2,25,0.201834862,0.256410256,0.275229357,0.24011870632823715,11760
2022,"Aug","Noah Syndergaard","PHI",5,128,4.40217391,37,4,4,15,15,2,5,0,0,18,0.303278688,0.330708661,0.450819672,0.33781862352776715,11762
2022,"Aug","Taijuan Walker","NYM",5,91,6.98275862,22,5,0,15,15,3,10,0,3,13,0.285714285,0.384615384,0.467532467,0.37302613716859084,11836
2022,"Aug","Chris Bassitt","NYM",5,138,1.62,33,4,1,7,6,0,5,0,4,22,0.2578125,0.306569343,0.3046875,0.2753258551994379,12304
2022,"Aug","Adrian Houser","MIL",1,17,19.28571431,5,2,0,5,5,0,4,0,0,4,0.384615384,0.529411764,0.538461538,0.4664401306825526,12718
2022,"Aug","Sonny Gray","MIN",5,106,2.025,17,4,0,7,6,2,13,0,1,30,0.188888888,0.29245283,0.3,0.2696806974006149,12768
2022,"Aug","Mike Clevinger","SDP",6,137,3.9375,28,6,0,14,14,5,11,0,3,20,0.229508196,0.306569343,0.401639344,0.3116142684525817,12808
2022,"Aug","Tyler Anderson","LAD",6,151,2.89285714,31,9,0,13,12,2,11,0,1,23,0.224637681,0.286666666,0.333333333,0.27647138873736066,12880
2022,"Aug","Dylan Bundy","MIN",5,99,2.625,21,4,0,7,7,2,5,0,2,12,0.23076923,0.282828282,0.34065934,0.2760789731536249,12917
2022,"Aug","Joe Musgrove","SDP",6,146,4.23529412,37,6,1,19,16,5,4,0,5,35,0.274074074,0.315068493,0.444444444,0.3286473959276121,12970
2022,"Aug","Yu Darvish","SDP",5,134,4.05,30,4,0,15,15,6,5,0,1,33,0.234375,0.268656716,0.40625,0.29342436923909543,13074
2022,"Aug","Gerrit Cole","NYY",6,153,3.20338983,30,5,1,15,14,5,8,0,1,42,0.209790209,0.256578947,0.363636363,0.2716583072354919,13125
2022,"Aug","Eduardo Rodriguez","DET",2,46,0.81818182,10,1,0,1,1,0,6,0,0,7,0.25,0.347826086,0.275,0.29018691311711853,13164
2022,"Aug","Zach Davies","ARI",6,118,3.49411765,23,4,0,11,11,5,12,0,0,18,0.221153846,0.299145299,0.403846153,0.30807482075487447,13183
2022,"Aug","Ross Stripling","TOR",3,70,1.96363636,14,1,0,4,4,2,1,0,0,19,0.20289855,0.214285714,0.304347826,0.22595118284225463,13273
2022,"Aug","Adrian Sampson","CHC",5,99,4.43283582,29,5,1,11,11,4,7,0,0,18,0.315217391,0.363636363,0.52173913,0.38193034884905575,13339
2022,"Aug","Luis Cessa","CIN",2,24,4.5,7,0,0,3,3,3,1,0,0,4,0.304347826,0.333333333,0.695652173,0.43500631550947827,13345
2022,"Aug","Marcus Stroman","CHC",6,143,3.97058824,32,4,0,19,15,4,11,0,1,23,0.248062015,0.307692307,0.372093023,0.29959950705508254,13431
2022,"Aug","Daniel Norris","DET",2,43,0.93103448,8,2,0,1,1,0,4,0,4,5,0.228571428,0.372093023,0.285714285,0.3130671090857927,13475
2022,"Aug","Blake Snell","SDP",6,135,2.8125,31,2,0,11,10,3,7,0,1,46,0.248,0.288888888,0.336,0.2760037029231036,13543
2022,"Aug","Jakob Junis","SFG",5,107,7.125,30,10,0,19,19,4,4,0,1,23,0.297029702,0.330188679,0.514851485,0.3633922389093435,13619
2022,"Aug","Max Fried","ATL",4,103,2.42307692,20,4,1,10,7,2,3,0,0,21,0.2,0.22330097,0.32,0.23638392189174023,13743
2022,"Aug","Alex Wood","SFG",6,136,8.4,35,5,0,28,28,6,5,0,7,32,0.291666666,0.348148148,0.483333333,0.3587927575464602,13781
2022,"Aug","Chris Flexen","SEA",1,26,7.5,6,1,0,5,5,2,2,0,0,5,0.25,0.307692307,0.541666666,0.3628661632537842,13896
2022,"Aug","Michael Wacha","BOS",4,94,2.18918919,15,4,0,6,6,3,4,0,2,26,0.172413793,0.223404255,0.32183908,0.23966085276705154,14078
2022,"Aug","Kevin Gausman","TOR",6,144,2.7,34,5,0,11,11,3,4,0,1,42,0.246376811,0.270833333,0.347826086,0.27068540992008316,14107
2022,"Aug","Lance McCullers Jr.","HOU",3,67,1.6875,13,3,0,3,3,1,10,0,0,13,0.228070175,0.343283582,0.333333333,0.30893327229058565,14120
2022,"Aug","Jose Berrios","TOR",5,116,6.92307692,35,5,0,21,20,5,7,0,3,21,0.333333333,0.387931034,0.523809523,0.39435783182752543,14168
2022,"Aug","Frankie Montas","NYY",5,118,7.01298701,32,8,0,20,20,5,7,0,4,20,0.310679611,0.370689655,0.533980582,0.3874745461447486,14309
2022,"Aug","Paul Blackburn","OAK",1,22,7.2,6,1,0,4,4,4,1,0,0,3,0.285714285,0.318181818,0.904761904,0.5055489811030301,14739
2022,"Aug","Julio Urias","LAD",5,116,0.9,19,2,1,3,3,2,7,0,1,34,0.175925925,0.23275862,0.268518518,0.2257209425342494,14765
2022,"Aug","Chad Kuhl","COL",2,47,10.8,13,2,1,12,12,4,4,0,2,8,0.31707317,0.404255319,0.707317073,0.4661873756571019,14975
2022,"Aug","German Marquez","COL",5,126,3.77419355,28,9,1,13,13,4,10,0,0,25,0.24137931,0.301587301,0.439655172,0.3214602404170566,15038
2022,"Aug","Austin Voth","BAL",5,112,2.57142857,19,6,0,8,8,3,9,0,0,20,0.186274509,0.252252252,0.333333333,0.25965828831131393,15047
2022,"Aug","Luke Farrell","CHC",2,27,4.2631579,8,2,0,3,3,2,0,0,0,5,0.296296296,0.296296296,0.592592592,0.3778651908591942,15101
2022,"Aug","Andrew Heaney","LAD",6,120,3.29268293,27,4,1,16,10,6,5,0,5,43,0.247706422,0.310924369,0.467889908,0.33836683956514885,15423
2022,"Aug","Mike Mayers","LAA",2,42,5,10,0,0,7,5,3,5,0,0,9,0.27027027,0.357142857,0.513513513,0.37730190015974496,15451
2022,"Aug","Nick Pivetta","BOS",5,122,4.08139535,27,5,0,13,13,4,10,0,1,29,0.245454545,0.311475409,0.4,0.312396374393682,15454
2022,"Aug","Marco Gonzales","SEA",6,150,5.07920792,43,9,0,20,19,4,8,0,3,20,0.31617647,0.364864864,0.470588235,0.3636987366386362,15467
2022,"Aug","Lucas Giolito","CHW",6,139,5.68421053,37,11,0,20,20,4,12,0,0,34,0.291338582,0.352517985,0.472440944,0.35880502179372226,15474
2022,"Aug","Antonio Senzatela","COL",4,88,5.66129032,25,5,0,13,13,2,6,0,1,11,0.3125,0.367816091,0.45,0.35877447087189246,15488
2022,"Aug","Luis Castillo","SEA",5,126,2.84210526,26,6,0,10,10,3,8,0,2,39,0.226086956,0.285714285,0.356521739,0.28381513697760447,15689
2022,"Aug","Brad Keller","KCR",3,75,10.43181818,26,1,1,17,17,5,7,0,0,10,0.388059701,0.44,0.656716417,0.46449597358703615,15734
2022,"Aug","Sean Manaea","SDP",5,110,7.875,35,6,0,22,21,5,3,0,2,25,0.333333333,0.363636363,0.533333333,0.38770860108462246,15873
2022,"Aug","Zach Thompson","PIT",5,102,5.31818182,27,6,0,13,13,5,10,0,1,22,0.296703296,0.372549019,0.527472527,0.3890013186370625,16094
2022,"Aug","Carlos Rodon","SFG",5,114,3.17647059,22,4,1,10,10,3,6,0,1,33,0.207547169,0.256637168,0.349056603,0.26628177725108326,16137
2022,"Aug","Aaron Nola","PHI",5,134,4.21875,32,6,1,15,15,2,4,0,2,38,0.251968503,0.285714285,0.362204724,0.2844975604150528,16149
2022,"Aug","Brandon Woodruff","MIL",5,120,2.7,25,5,0,10,9,6,8,0,0,31,0.223214285,0.275,0.428571428,0.3051938056945801,16162
2022,"Aug","Kyle Freeland","COL",5,129,5.92682927,34,8,2,19,18,4,11,0,5,19,0.306306306,0.390625,0.522522522,0.3940372387878597,16256
2022,"Aug","Tyler Mahle","MIN",3,52,2.51162791,8,1,0,4,4,3,4,0,0,12,0.166666666,0.23076923,0.375,0.26476654639610875,16358
2022,"Aug","Jordan Montgomery","STL",5,114,1.76086957,21,6,0,6,6,1,4,0,1,28,0.19266055,0.228070175,0.275229357,0.22359616976035268,16511
2022,"Aug","Touki Toussaint","LAA",2,33,4.69565217,5,0,0,4,4,0,6,0,1,9,0.192307692,0.363636363,0.192307692,0.28096759138685284,16929
2022,"Aug","Trevor Williams","NYM",1,17,0,4,0,0,0,0,0,2,0,0,3,0.266666666,0.352941176,0.266666666,0.28899359703063965,16977
2022,"Aug","Tyler Beede","PIT",5,78,9.6,21,6,0,17,16,3,10,1,2,13,0.318181818,0.423076923,0.545454545,0.415976586279931,16981
2022,"Aug","Pablo Lopez","MIA",5,117,4.6097561,28,8,0,14,14,4,10,0,0,23,0.264150943,0.324786324,0.452830188,0.3368279852418818,17085
2022,"Aug","Domingo German","NYY",6,135,2.07692308,27,9,0,9,8,2,6,0,3,22,0.214285714,0.266666666,0.333333333,0.26616304318110146,17149
