Season,Month,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2021,"Aug","Matt Moore","PHI",4,81,5.60377358,16,6,0,11,11,3,13,2,0,16,0.242424242,0.367088607,0.469696969,0.3536584973335266,1890
2021,"Aug","Jose Alvarez","SFG",1,11,10.79999998,4,1,0,2,2,0,2,0,0,0,0.444444444,0.545454545,0.555555555,0.47838596322319726,5358
2021,"Aug","Zack Greinke","HOU",5,118,3.72413793,28,8,0,12,12,3,4,0,0,13,0.252252252,0.273504273,0.405405405,0.2877225188108591,1943
2021,"Aug","Brad Peacock","BOS",1,12,19.28571431,2,0,0,5,5,1,2,0,1,0,0.222222222,0.416666666,0.555555555,0.4159116248289744,5401
2021,"Aug","Adam Wainwright","STL",6,164,1.43181818,29,10,1,7,7,1,6,0,1,36,0.184713375,0.219512195,0.280254777,0.2183361867579018,2233
2021,"Aug","Chris Archer","TBR",2,25,3,5,0,0,2,2,1,2,0,0,10,0.217391304,0.28,0.347826086,0.276246919631958,6345
2021,"Aug","Corey Kluber","NYY",1,19,11.25,5,0,0,5,5,1,2,0,0,6,0.294117647,0.368421052,0.470588235,0.36348278898941844,2429
2021,"Aug","Martin Perez","BOS",1,10,20.25000005,5,1,1,3,3,1,0,0,1,2,0.625,0.6,1.375,0.7296186745166778,6902
2021,"Aug","Lance Lynn","CHW",5,115,4.66666667,23,5,0,14,14,6,9,0,0,30,0.219047619,0.280701754,0.438095238,0.30720576382519904,2520
2021,"Aug","Craig Stammen","SDP",3,28,6,10,2,0,4,4,0,2,1,0,4,0.384615384,0.428571428,0.461538461,0.37805378437042236,7274
2021,"Aug","Max Scherzer","LAD",5,115,1.55172414,19,5,0,5,5,2,5,0,2,41,0.177570093,0.228070175,0.280373831,0.22519632807949133,3137
2021,"Aug","Collin McHugh","TBR",1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7531
