Season,Month,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2024,"May","Lance Lynn","STL",5,113,4.3875,24,8,0,18,13,2,10,0,2,24,0.24,0.31858407,0.38,0.30805692525036565,2520
2024,"May","Brennan Bernardino","BOS",1,5,0,1,0,0,1,0,0,0,0,1,1,0.25,0.4,0.25,0.32038054466247556,16835
2024,"May","Charlie Morton","ATL",5,118,5.0625,29,8,0,17,15,4,12,0,3,31,0.284313725,0.372881355,0.480392156,0.36994271460226025,4676
2024,"May","Albert Suarez","BAL",2,36,1,6,2,0,1,1,0,4,0,0,8,0.193548387,0.285714285,0.258064516,0.2512073721204485,6175
2024,"May","Carlos Carrasco","CLE",3,72,3,17,3,1,8,6,3,3,0,0,11,0.25,0.277777777,0.455882352,0.3109247080153889,6632
2024,"May","Martin Perez","PIT",5,107,7.54411765,36,6,0,21,19,8,6,0,0,19,0.356435643,0.392523364,0.653465346,0.44351388360852395,6902
2024,"May","Justin Verlander","HOU",6,151,3.68181818,31,1,1,16,15,7,11,0,2,33,0.226277372,0.291390728,0.401459854,0.3020535719315737,8700
2024,"May","Nathan Eovaldi","TEX",2,34,2.16,7,4,0,2,2,0,2,0,0,10,0.225806451,0.264705882,0.354838709,0.26591700490783243,9132
2024,"May","Patrick Corbin","WSN",6,150,4.93269231,38,9,2,20,19,5,13,0,0,19,0.283582089,0.344594594,0.492537313,0.35860960668808706,9323
2024,"May","Miles Mikolas","STL",6,136,5.18181818,32,8,0,19,19,4,7,0,1,25,0.251968503,0.296296296,0.409448818,0.30675803555382625,9803
2024,"May","Kyle Gibson","STL",5,116,3.33333333,25,6,1,14,10,2,11,0,1,23,0.245098039,0.32173913,0.382352941,0.3097722468168839,10123
2024,"May","Zack Wheeler","PHI",6,145,2.72477064,25,8,1,12,11,3,12,0,1,39,0.192307692,0.263888888,0.338461538,0.26546048869689304,10310
2024,"May","Chris Sale","ATL",5,124,0.5625,23,4,0,2,2,0,2,0,3,45,0.19327731,0.225806451,0.226890756,0.20410585115032812,10603
2024,"May","Jose Quintana","NYM",5,109,7.2,32,6,0,20,20,6,3,0,2,16,0.310679611,0.339449541,0.54368932,0.37583792483041045,11423
2024,"May","Jose Urena","TEX",5,112,3.24,27,6,0,12,9,4,7,0,0,15,0.259615384,0.303571428,0.432692307,0.3173046282359532,11589
2024,"May","Jameson Taillon","CHC",5,117,3.75949367,30,4,0,16,11,3,9,0,0,20,0.283018867,0.333333333,0.405660377,0.3217789800758036,11674
2024,"May","James Paxton","LAD",5,105,3.07594937,23,2,0,9,9,5,6,0,1,16,0.237113402,0.288461538,0.412371134,0.3049932254048494,11828
2024,"May","Taijuan Walker","PHI",5,117,4.78481013,32,5,0,15,14,4,10,0,2,21,0.307692307,0.376068376,0.471153846,0.3682197663519118,11836
