Season,Month,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2024,"Jun","Tyler Glasnow","LAD",5,115,3.72413793,23,7,0,13,12,4,6,0,0,41,0.214953271,0.254385964,0.392523364,0.27802526532557975,14374
2024,"Jun","Michael Lorenzen","TEX",6,138,3.47524752,29,3,0,13,13,7,11,0,2,21,0.232,0.304347826,0.424,0.3179995763129082,14843
2024,"Jun","Jon Gray","TEX",4,78,9.52941176,26,2,0,18,18,5,2,0,0,9,0.346666666,0.358974358,0.573333333,0.39599631612117475,14916
2024,"Jun","Ben Lively","CLE",5,105,3.41772152,23,2,2,10,10,3,7,0,2,18,0.242105263,0.304761904,0.4,0.3067544000489371,14932
2024,"Jun","Chad Kuhl","CHW",1,11,0,1,1,0,0,0,0,2,0,0,3,0.111111111,0.272727272,0.222222222,0.23933705416592685,14975
2024,"Jun","Andrew Heaney","TEX",6,142,3.40776699,30,6,0,13,13,4,8,0,1,39,0.225563909,0.274647887,0.360902255,0.2788209382077338,15423
2024,"Jun","Nick Pivetta","BOS",5,115,5.12658228,29,4,1,15,15,5,9,0,0,26,0.276190476,0.330434782,0.476190476,0.3461776349855506,15454
2024,"Jun","Luis Castillo","SEA",6,139,5.13,31,10,0,19,19,4,11,0,1,28,0.248,0.313868613,0.424,0.3214059698320653,15689
2024,"Jun","Zack Littell","TBR",5,111,6,35,7,1,17,16,6,6,0,0,18,0.333333333,0.369369369,0.59047619,0.40828294421101474,15823
2024,"Jun","Sean Manaea","NYM",5,105,5.4,21,4,0,16,15,4,12,0,1,29,0.228260869,0.323809523,0.402173913,0.32064979871114097,15873
2024,"Jun","Luis Severino","NYM",5,131,3.24,33,4,0,12,12,4,5,0,1,20,0.266129032,0.297709923,0.39516129,0.3009529946414569,15890
2024,"Jun","Carlos Rodon","NYY",5,122,7.7625,36,11,0,24,23,6,6,0,3,30,0.321428571,0.368852459,0.580357142,0.40282326252734074,16137
2024,"Jun","Aaron Nola","PHI",5,121,4.45054945,29,9,0,15,15,3,3,0,1,28,0.247863247,0.272727272,0.401709401,0.29103731271649197,16149
2024,"Jun","Spencer Turnbull","PHI",1,10,3,1,0,0,1,1,1,2,0,0,2,0.125,0.3,0.5,0.3427872538566589,16207
2024,"Jun","Kyle Freeland","COL",2,48,1.42105263,8,1,0,2,2,1,3,0,0,7,0.181818181,0.234042553,0.272727272,0.2268449714843263,16256
2024,"Jun","Reynaldo Lopez","ATL",4,90,1.63636364,19,2,0,4,4,2,7,0,0,26,0.234567901,0.288888888,0.333333333,0.273974335193634,16400
2024,"Jun","Yonny Chirinos","MIA",3,67,3.76744186,20,5,0,6,6,2,4,0,1,15,0.322580645,0.373134328,0.5,0.3777672692910949,16401
2024,"Jun","Jordan Montgomery","ARI",5,104,7.59375,32,5,1,20,18,4,8,0,0,17,0.344086021,0.388349514,0.548387096,0.3977792668111116,16511
2024,"Jun","Austin Gomber","COL",5,108,9.39130435,35,6,1,24,24,5,7,0,0,15,0.35,0.388888888,0.58,0.41173983061755143,16561
2024,"Jun","Pablo Lopez","MIN",5,112,5,22,4,0,15,15,5,9,0,1,35,0.22,0.285714285,0.41,0.30045042665941374,17085
2024,"Jun","Ranger Suarez","PHI",6,135,3.48387097,38,11,1,14,12,2,5,0,1,22,0.296875,0.328358208,0.4453125,0.33443985412369914,17277
2024,"Jun","Framber Valdez","HOU",6,155,3.10619469,30,6,0,16,13,3,14,0,2,30,0.218978102,0.296774193,0.328467153,0.27922354321325976,17295
2024,"Jun","Justin Steele","CHC",6,156,2.13157895,32,6,0,15,9,2,9,0,1,39,0.220689655,0.270967741,0.303448275,0.25618919095685405,17312
2024,"Jun","Erick Fedde","CHW",5,124,3.48387097,29,7,0,12,12,3,3,0,0,25,0.243697478,0.258064516,0.37815126,0.2721762253392127,17425
2024,"Jun","Jack Flaherty","DET",4,84,2.53125,17,2,1,6,6,4,4,0,0,25,0.2125,0.25,0.4125,0.28417707908721196,17479
2024,"Jun","Mitch Keller","PIT",5,132,2.34782609,28,4,4,9,8,2,8,0,3,33,0.231404958,0.295454545,0.380165289,0.2956140407107093,17594
2024,"Jun","Nestor Cortes","NYY",6,139,3.97058824,37,10,0,15,15,6,4,0,1,31,0.278195488,0.302158273,0.488721804,0.33694077567230885,17874
2024,"Jun","Logan Webb","SFG",6,160,3.825,39,6,1,17,17,3,7,2,0,36,0.258278145,0.2875,0.370860927,0.2802574830719187,17995
2024,"Jun","Triston McKenzie","CLE",5,93,9.32727273,24,5,0,19,19,8,15,1,0,20,0.307692307,0.419354838,0.679487179,0.45669312386409094,18000
2024,"Jun","Kenta Maeda","DET",4,79,4.73684211,20,2,0,10,10,2,7,0,0,15,0.277777777,0.341772151,0.388888888,0.32328355538694165,18498
2024,"Jun","Dylan Cease","SDP",5,117,4.93902439,26,4,0,15,15,5,9,0,1,38,0.247619047,0.310344827,0.428571428,0.3204938846415487,18525
2024,"Jun","Jake Woodford","CHW",1,26,15.75,10,2,0,7,7,2,3,0,1,3,0.454545454,0.538461538,0.818181818,0.5648447275161743,18674
2024,"Jun","Freddy Peralta","MIL",6,136,4.26315789,27,2,1,16,15,4,13,0,2,38,0.225,0.308823529,0.358333333,0.29654810489977107,18679
2024,"Jun","Cody Poteet","NYY",3,59,2.4,9,1,0,5,4,1,7,0,1,9,0.176470588,0.288135593,0.25490196,0.2545786318132433,18769
2024,"Jun","Dakota Hudson","COL",5,111,7.76712329,33,8,0,22,21,4,14,0,2,13,0.351063829,0.441441441,0.563829787,0.43097434763435843,19206
2024,"Jun","Cole Irvin","BAL",6,143,6.3,45,13,1,27,21,6,6,0,2,20,0.34090909,0.373239436,0.59090909,0.40713598988425564,19244
2024,"Jun","Zac Gallen","ARI",1,19,0,1,0,0,0,0,0,1,0,0,7,0.055555555,0.105263157,0.055555555,0.08267586482198615,19291
2024,"Jun","Trevor Richards","TOR",2,14,0,1,0,0,0,0,0,0,0,0,5,0.071428571,0.071428571,0.071428571,0.06297933629580907,19309
2024,"Jun","Cal Quantrill","COL",6,141,4.26315789,36,7,2,15,15,4,11,0,4,23,0.288,0.364285714,0.472,0.3635709694453648,19312
2024,"Jun","Corbin Burnes","BAL",5,135,2.11764706,30,2,1,10,8,5,4,0,0,28,0.23076923,0.251851851,0.376923076,0.2703778832047074,19361
2024,"Jun","Walker Buehler","LAD",3,63,9,20,2,0,14,12,4,3,0,1,7,0.350877192,0.38095238,0.596491228,0.41014080577426487,19374
2024,"Jun","Ronel Blanco","HOU",5,124,2.58510638,18,4,1,12,9,6,12,0,0,27,0.165137614,0.243902439,0.3853211,0.2711130307941902,19407
2024,"Jun","Dane Dunning","TEX",3,60,7.425,12,3,1,11,11,3,7,0,1,14,0.23076923,0.333333333,0.5,0.35757900575796764,19409
2024,"Jun","Patrick Sandoval","LAA",4,84,4.26315789,22,4,0,9,9,1,8,2,1,17,0.293333333,0.369047619,0.386666666,0.32818846440896754,19447
2024,"Jun","Shaun Anderson","MIA",2,35,15.18750001,17,4,1,13,9,1,0,0,1,4,0.515151515,0.514285714,0.787878787,0.5450375284467425,19453
2024,"Jun","Aaron Civale","TBR",5,111,4.32,28,6,0,12,12,5,9,0,2,24,0.28,0.351351351,0.49,0.36402139577779685,19479
2024,"Jun","Jordan Hicks","SFG",5,105,5.23880597,26,3,1,13,13,3,14,0,3,24,0.295454545,0.409523809,0.454545454,0.3815522795631772,19618
2024,"Jun","Michael King","SDP",6,141,2.67326733,33,5,1,10,10,1,10,0,2,41,0.259842519,0.321428571,0.338582677,0.294056567975453,19853
2024,"Jun","Griffin Canning","LAA",6,155,4.13513514,34,6,0,20,17,6,9,0,3,22,0.239436619,0.296774193,0.408450704,0.30699826825049614,19867
2024,"Jun","Tanner Houck","BOS",5,128,4.85393258,31,6,0,19,16,4,4,0,3,30,0.258333333,0.299212598,0.408333333,0.3083318509454802,19879
2024,"Jun","Jose Suarez","LAA",1,14,13.49999998,6,1,2,4,4,1,1,0,1,3,0.5,0.571428571,1.166666666,0.6897583859307426,19911
2024,"Jun","Jesus Luzardo","MIA",3,66,7.8,18,4,0,13,13,3,6,0,2,8,0.310344827,0.393939393,0.534482758,0.4006152125922116,19959
2024,"Jun","Zach Plesac","LAA",3,54,8.25,12,3,0,11,11,4,7,0,0,5,0.255319148,0.351851851,0.574468085,0.39248613737247606,19979
2024,"Jun","Bryse Wilson","MIL",2,47,12,13,2,0,12,12,3,4,0,2,9,0.325,0.404255319,0.6,0.4235812374886046,19990
2024,"Jun","Bailey Falter","PIT",5,105,5.625,30,7,0,16,15,3,10,0,0,21,0.322580645,0.384615384,0.494623655,0.3793795934090248,20070
2024,"Jun","Chris Paddack","MIN",4,78,7.78846154,22,4,0,15,15,2,6,0,0,16,0.305555555,0.358974358,0.444444444,0.35075849294662476,20099
2024,"Jun","Jhonathan Diaz","SEA",1,26,5.0625,9,0,0,3,3,2,1,0,0,4,0.36,0.384615384,0.6,0.42155107168050915,20298
2024,"Jun","David Peterson","NYM",4,99,3.68181818,20,4,0,9,9,2,12,0,4,17,0.240963855,0.363636363,0.361445783,0.32940700439491655,20302
2024,"Jun","Zack Kelly","BOS",2,17,0,1,0,0,0,0,0,2,0,0,6,0.066666666,0.176470588,0.066666666,0.1329395385349498,20349
2024,"Jun","Josh Fleming","PIT",1,16,0,4,1,0,0,0,0,0,0,0,2,0.25,0.25,0.3125,0.24372364208102226,20418
2024,"Jun","Casey Mize","DET",6,125,3.4137931,34,5,2,15,11,1,9,0,0,24,0.298245614,0.344,0.403508771,0.3250265021324158,20492
2024,"Jun","Kutter Crawford","BOS",5,105,4.20779221,19,4,0,18,12,8,8,0,1,31,0.197916666,0.266666666,0.489583333,0.3220941532225836,20531
2024,"Jun","Bowden Francis","TOR",1,16,0,3,1,0,0,0,0,1,0,0,3,0.2,0.25,0.266666666,0.23168739303946495,20548
